dataset,tnet_50_tp,tnet_50_fp,tnet_50_fn,tnet_80_tp,tnet_80_fp,tnet_80_fn,tnet_100_tp,tnet_100_fp,tnet_100_fn
SIR003_sl1000_mr05_nv5_7,42,25,32,38,16,36,37,8,37
SIR003_sl1000_mr05_nv5_8,11,9,14,11,4,14,10,3,15
SIR003_sl1000_mr05_nv5_9,13,11,11,13,9,11,13,7,11
SIR003_sl1000_mr1_nv10_1,13,4,4,11,3,6,10,3,7
SIR003_sl1000_mr1_nv10_10,5,4,6,5,3,6,5,3,6
SIR003_sl1000_mr1_nv10_11,7,3,3,7,2,3,6,1,4
SIR003_sl1000_mr1_nv10_12,16,11,11,15,7,12,15,7,12
SIR003_sl1000_mr1_nv10_13,1,5,5,1,5,5,1,5,5
SIR003_sl1000_mr1_nv10_14,26,8,10,25,6,11,25,4,11
SIR003_sl1000_mr1_nv10_15,7,4,4,7,4,4,7,4,4
SIR003_sl1000_mr1_nv10_16,10,7,10,10,3,10,10,3,10
SIR003_sl1000_mr1_nv10_17,24,8,8,24,8,8,23,7,9
SIR003_sl1000_mr1_nv10_18,24,7,9,24,5,9,24,1,9
SIR003_sl1000_mr1_nv10_19,40,23,24,37,11,27,37,9,27
SIR003_sl1000_mr1_nv10_2,43,18,20,40,13,23,38,12,25
SIR003_sl1000_mr1_nv10_20,47,22,22,44,12,25,44,12,25
SIR003_sl1000_mr1_nv10_3,18,5,5,16,4,7,16,4,7
SIR003_sl1000_mr1_nv10_4,22,6,7,20,5,9,20,5,9
SIR003_sl1000_mr1_nv10_5,5,1,4,5,0,4,5,0,4
SIR003_sl1000_mr1_nv10_6,22,6,8,19,1,11,19,1,11
SIR003_sl1000_mr1_nv10_7,6,2,2,5,1,3,5,1,3
SIR003_sl1000_mr1_nv10_8,25,8,10,25,2,10,25,2,10
SIR003_sl1000_mr1_nv10_9,6,3,3,6,3,3,6,0,3
SIR003_sl250_mr05_nv10_1,20,16,12,19,15,13,17,12,15
SIR003_sl250_mr05_nv10_10,11,10,8,11,9,8,11,9,8
SIR003_sl250_mr05_nv10_11,5,7,7,3,4,9,3,4,9
SIR003_sl250_mr05_nv10_12,7,6,6,7,5,6,7,4,6
SIR003_sl250_mr05_nv10_13,2,6,5,1,4,6,1,4,6
SIR003_sl250_mr05_nv10_14,6,2,2,6,2,2,6,2,2
SIR003_sl250_mr05_nv10_15,7,1,1,7,1,1,7,1,1
SIR003_sl250_mr05_nv10_16,7,5,4,6,4,5,6,4,5
SIR003_sl250_mr05_nv10_17,28,20,17,27,15,18,27,12,18
SIR003_sl250_mr05_nv10_18,17,8,10,17,6,10,15,6,12
SIR003_sl250_mr05_nv10_19,8,22,17,7,18,18,7,17,18
SIR003_sl250_mr05_nv10_2,10,4,4,9,3,5,9,3,5
SIR003_sl250_mr05_nv10_20,27,19,14,23,16,18,22,15,19
SIR003_sl250_mr05_nv10_3,18,4,4,17,3,5,16,3,6
SIR003_sl250_mr05_nv10_4,10,3,2,10,3,2,10,3,2
SIR003_sl250_mr05_nv10_5,16,7,6,16,7,6,16,4,6
SIR003_sl250_mr05_nv10_6,23,10,10,22,8,11,22,4,11
SIR003_sl250_mr05_nv10_7,24,29,22,24,25,22,24,24,22
SIR003_sl250_mr05_nv10_8,10,8,7,10,8,7,10,7,7
SIR003_sl250_mr05_nv10_9,3,8,6,3,4,6,3,3,6
SIR003_sl500_mr05_nv10_1,5,2,2,5,2,2,5,1,2
SIR003_sl500_mr05_nv10_10,24,14,15,16,5,23,14,3,25
SIR003_sl500_mr05_nv10_11,5,1,1,5,1,1,5,1,1
SIR003_sl500_mr05_nv10_12,17,9,9,17,5,9,16,5,10
SIR003_sl500_mr05_nv10_13,33,11,15,29,4,19,29,4,19
SIR003_sl500_mr05_nv10_14,21,9,12,20,6,13,20,5,13
SIR003_sl500_mr05_nv10_15,16,3,3,16,2,3,16,2,3
SIR003_sl500_mr05_nv10_16,7,7,5,7,6,5,5,5,7
SIR003_sl500_mr05_nv10_17,7,4,3,7,2,3,7,2,3
SIR003_sl500_mr05_nv10_18,11,2,2,11,2,2,11,2,2
SIR003_sl500_mr05_nv10_19,35,22,25,34,18,26,33,17,27
SIR003_sl500_mr05_nv10_2,26,8,8,26,6,8,26,6,8
SIR003_sl500_mr05_nv10_20,4,4,4,4,2,4,4,2,4
SIR003_sl500_mr05_nv10_3,22,7,7,21,5,8,21,5,8
SIR003_sl500_mr05_nv10_4,18,7,8,15,4,11,15,4,11
SIR003_sl500_mr05_nv10_5,9,1,1,9,1,1,9,1,1
SIR003_sl500_mr05_nv10_6,16,5,5,14,3,7,14,2,7
SIR003_sl500_mr05_nv10_7,14,7,4,14,7,4,14,7,4
SIR003_sl500_mr05_nv10_8,12,3,3,12,3,3,11,3,4
SIR003_sl500_mr05_nv10_9,6,1,1,6,1,1,6,1,1
SIR01_sl1000_mr075_nv10_1,49,8,8,45,7,12,45,6,12
SIR01_sl1000_mr075_nv10_10,6,2,2,5,1,3,5,1,3
SIR01_sl1000_mr075_nv10_11,7,0,0,7,0,0,7,0,0
SIR01_sl1000_mr075_nv10_12,25,3,5,25,2,5,25,2,5
SIR01_sl1000_mr075_nv10_13,9,5,5,7,2,7,7,2,7
SIR01_sl1000_mr075_nv10_14,4,3,3,4,3,3,4,3,3
SIR01_sl1000_mr075_nv10_15,5,1,1,5,1,1,5,1,1
SIR01_sl1000_mr075_nv10_16,16,3,2,16,3,2,16,1,2
SIR01_sl1000_mr075_nv10_17,47,18,24,41,10,30,40,9,31
SIR01_sl1000_mr075_nv10_18,9,2,2,9,2,2,9,1,2
SIR01_sl1000_mr075_nv10_19,5,4,6,4,1,7,4,1,7
SIR01_sl1000_mr075_nv10_2,6,3,5,6,1,5,6,1,5
SIR01_sl1000_mr075_nv10_20,19,9,11,19,7,11,18,5,12
SIR01_sl1000_mr075_nv10_3,5,4,6,5,3,6,5,3,6
SIR01_sl1000_mr075_nv10_4,31,8,7,29,8,9,27,8,11
SIR01_sl1000_mr075_nv10_5,48,12,16,46,4,18,46,2,18
SIR01_sl1000_mr075_nv10_6,6,2,2,6,2,2,6,2,2
SIR01_sl1000_mr075_nv10_7,20,4,4,20,3,4,19,1,5
SIR01_sl1000_mr075_nv10_8,10,3,6,9,2,7,9,2,7
SIR01_sl1000_mr075_nv10_9,17,7,10,17,3,10,17,3,10
SIR01_sl1000_mr15_nv10_10,24,8,8,21,4,11,21,3,11
SIR01_sl1000_mr15_nv10_11,7,2,5,7,1,5,7,1,5
SIR01_sl1000_mr15_nv10_12,18,6,6,16,3,8,15,3,9
SIR01_sl1000_mr15_nv10_14,8,0,0,8,0,0,8,0,0
SIR01_sl1000_mr15_nv10_15,18,18,20,17,8,21,17,8,21
SIR01_sl1000_mr15_nv10_16,6,1,1,6,1,1,6,1,1
SIR01_sl1000_mr15_nv10_17,17,3,3,16,1,4,15,0,5
SIR01_sl1000_mr15_nv10_18,51,20,18,44,8,25,44,5,25
SIR01_sl1000_mr15_nv10_19,8,1,1,8,1,1,8,1,1
SIR01_sl1000_mr15_nv10_20,7,2,2,7,2,2,7,2,2
SIR01_sl1000_mr15_nv10_3,47,9,12,45,6,14,44,5,15
SIR01_sl1000_mr15_nv10_5,9,1,1,8,0,2,8,0,2
SIR01_sl1000_mr15_nv10_6,7,0,0,7,0,0,7,0,0
SIR01_sl1000_mr15_nv10_7,36,9,14,32,6,18,32,6,18
SIR01_sl1000_mr15_nv10_8,8,2,2,6,0,4,6,0,4
SIR01_sl1000_mr15_nv10_9,14,7,7,14,7,7,14,5,7
SIR01_sl1000_mr15_nv20_1,23,7,9,22,2,10,20,2,12
SIR01_sl1000_mr15_nv20_10,10,3,3,10,3,3,9,2,4
SIR01_sl1000_mr15_nv20_11,50,10,9,48,7,11,47,7,12
SIR01_sl1000_mr15_nv20_12,9,5,6,9,1,6,8,1,7
SIR01_sl1000_mr15_nv20_13,5,1,1,5,1,1,5,1,1
SIR01_sl1000_mr15_nv20_14,2,3,3,2,3,3,2,3,3
SIR01_sl1000_mr15_nv20_15,6,8,8,5,6,9,5,6,9
SIR01_sl1000_mr15_nv20_16,18,2,3,18,1,3,18,1,3
SIR01_sl1000_mr15_nv20_17,10,4,4,10,4,4,10,4,4
SIR01_sl1000_mr15_nv20_18,27,3,3,26,1,4,26,1,4
SIR01_sl1000_mr15_nv20_19,45,2,6,43,2,8,43,2,8
SIR01_sl1000_mr15_nv20_2,4,1,6,4,1,6,4,1,6
SIR01_sl1000_mr15_nv20_20,11,3,3,11,3,3,11,3,3
SIR01_sl1000_mr15_nv20_3,4,1,1,2,0,3,2,0,3
SIR01_sl1000_mr15_nv20_4,51,15,18,50,8,19,49,7,20
SIR01_sl1000_mr15_nv20_5,7,3,3,7,3,3,7,3,3
SIR01_sl1000_mr15_nv20_6,7,2,1,7,1,1,7,1,1
SIR01_sl1000_mr15_nv20_7,23,5,5,21,5,7,21,5,7
SIR01_sl1000_mr15_nv20_8,37,6,11,36,4,12,36,4,12
SIR01_sl1000_mr15_nv20_9,19,4,7,17,2,9,17,2,9
SIR01_sl1000_mr15_nv5_1,19,7,9,17,5,11,17,5,11
SIR01_sl1000_mr15_nv5_10,8,3,3,8,0,3,8,0,3
SIR01_sl1000_mr15_nv5_11,6,3,3,5,2,4,5,2,4
SIR01_sl1000_mr15_nv5_12,12,7,11,11,7,12,11,6,12
SIR01_sl1000_mr15_nv5_13,13,3,3,13,3,3,13,3,3
SIR01_sl1000_mr15_nv5_14,16,6,6,12,4,10,11,2,11
SIR01_sl1000_mr15_nv5_15,34,10,11,29,10,16,29,7,16
SIR01_sl1000_mr15_nv5_16,4,5,5,3,1,6,3,1,6
SIR01_sl1000_mr15_nv5_17,7,1,1,7,1,1,7,1,1
SIR01_sl1000_mr15_nv5_18,6,3,3,6,0,3,6,0,3
SIR01_sl1000_mr15_nv5_19,12,8,9,11,6,10,11,6,10
SIR01_sl1000_mr15_nv5_2,21,14,14,20,7,15,19,7,16
SIR01_sl1000_mr15_nv5_20,12,5,5,10,2,7,10,2,7
SIR01_sl1000_mr15_nv5_3,4,3,5,4,2,5,3,1,6
SIR01_sl1000_mr15_nv5_4,12,10,13,11,6,14,10,4,15
SIR01_sl1000_mr15_nv5_5,7,4,4,7,4,4,7,2,4
SIR01_sl1000_mr15_nv5_6,14,7,9,11,2,12,11,2,12
SIR01_sl1000_mr15_nv5_7,4,3,4,3,0,5,3,0,5
SIR01_sl1000_mr15_nv5_8,3,5,5,3,2,5,3,1,5
SIR01_sl1000_mr15_nv5_9,28,14,19,25,6,22,25,6,22
SIR01_sl1000_mr3_nv10_1,25,5,5,21,4,9,21,4,9
SIR01_sl1000_mr3_nv10_10,7,2,2,7,0,2,6,0,3
SIR01_sl1000_mr3_nv10_11,40,13,17,36,2,21,36,2,21
SIR01_sl1000_mr3_nv10_12,23,9,11,22,6,12,22,6,12
SIR01_sl1000_mr3_nv10_13,25,8,11,21,6,15,20,3,16
SIR01_sl1000_mr3_nv10_14,24,4,4,24,3,4,24,3,4
SIR01_sl1000_mr3_nv10_15,3,5,6,3,1,6,3,1,6
SIR01_sl1000_mr3_nv10_16,24,4,8,23,3,9,23,3,9
SIR01_sl1000_mr3_nv10_17,8,2,2,8,2,2,8,2,2
SIR01_sl1000_mr3_nv10_18,19,4,5,18,4,6,17,2,7
SIR01_sl1000_mr3_nv10_19,14,15,16,13,4,17,12,1,18
SIR01_sl1000_mr3_nv10_2,7,2,2,7,2,2,7,2,2
SIR01_sl1000_mr3_nv10_20,9,3,3,8,2,4,8,2,4
SIR01_sl1000_mr3_nv10_3,14,6,6,14,6,6,13,4,7
SIR01_sl1000_mr3_nv10_4,11,1,1,9,1,3,9,1,3
SIR01_sl1000_mr3_nv10_5,20,6,8,20,5,8,18,5,10
SIR01_sl1000_mr3_nv10_6,30,23,24,30,13,24,28,11,26
SIR01_sl1000_mr3_nv10_7,16,6,7,16,6,7,13,3,10
SIR01_sl1000_mr3_nv10_8,6,0,4,6,0,4,6,0,4
SIR01_sl1000_mr3_nv10_9,18,5,11,16,1,13,16,0,13
SIR01_sl250_mr15_nv10_1,10,6,7,9,4,8,9,4,8
SIR01_sl250_mr15_nv10_10,31,30,25,30,22,26,30,18,26
SIR01_sl250_mr15_nv10_11,12,14,12,12,11,12,12,8,12
SIR01_sl250_mr15_nv10_12,12,11,7,11,8,8,11,8,8
SIR01_sl250_mr15_nv10_13,6,7,7,6,6,7,6,5,7
SIR01_sl250_mr15_nv10_14,7,13,8,7,11,8,6,11,9
SIR01_sl250_mr15_nv10_15,3,1,5,2,1,6,2,1,6
SIR01_sl250_mr15_nv10_16,14,12,9,13,12,10,13,9,10
SIR01_sl250_mr15_nv10_17,6,1,1,6,1,1,6,1,1
SIR01_sl250_mr15_nv10_18,13,13,7,12,10,8,12,10,8
SIR01_sl250_mr15_nv10_19,6,2,1,6,2,1,6,2,1
SIR01_sl250_mr15_nv10_2,6,5,3,6,3,3,6,3,3
SIR01_sl250_mr15_nv10_20,4,4,3,3,4,4,3,4,4
SIR01_sl250_mr15_nv10_3,10,6,4,10,4,4,9,2,5
SIR01_sl250_mr15_nv10_4,6,7,6,6,6,6,6,5,6
SIR01_sl250_mr15_nv10_5,8,2,1,8,2,1,8,2,1
SIR01_sl250_mr15_nv10_6,22,25,21,17,17,26,17,17,26
SIR01_sl250_mr15_nv10_7,27,16,14,24,10,17,24,6,17
SIR01_sl250_mr15_nv10_8,6,3,3,4,2,5,4,2,5
SIR01_sl250_mr15_nv10_9,4,6,6,4,4,6,4,4,6
SIR01_sl500_mr15_nv10_1,3,2,2,2,0,3,2,0,3
SIR01_sl500_mr15_nv10_10,7,6,6,7,6,6,6,5,7
SIR01_sl500_mr15_nv10_11,9,6,8,9,3,8,9,1,8
SIR01_sl500_mr15_nv10_12,4,4,2,3,2,3,3,2,3
SIR01_sl500_mr15_nv10_13,5,2,2,4,2,3,4,2,3
SIR01_sl500_mr15_nv10_14,22,13,17,21,10,18,21,8,18
SIR01_sl500_mr15_nv10_15,18,13,12,18,13,12,18,12,12
SIR01_sl500_mr15_nv10_16,8,2,2,8,2,2,8,2,2
SIR01_sl500_mr15_nv10_17,10,4,3,9,3,4,9,3,4
SIR01_sl500_mr15_nv10_18,16,9,9,14,5,11,14,5,11
SIR01_sl500_mr15_nv10_19,19,8,8,18,6,9,17,4,10
SIR01_sl500_mr15_nv10_2,15,7,6,15,6,6,15,6,6
SIR01_sl500_mr15_nv10_20,18,6,7,18,2,7,18,2,7
SIR01_sl500_mr15_nv10_3,15,5,4,15,5,4,12,3,7
SIR01_sl500_mr15_nv10_4,37,11,12,33,4,16,32,3,17
SIR01_sl500_mr15_nv10_5,34,19,18,33,7,19,31,6,21
SIR01_sl500_mr15_nv10_6,29,2,0,28,2,1,28,2,1
SIR01_sl500_mr15_nv10_7,7,2,0,6,2,1,6,2,1
SIR01_sl500_mr15_nv10_8,5,4,3,3,3,5,3,1,5
SIR01_sl500_mr15_nv10_9,36,22,21,33,12,24,32,10,25
