dataset,tnet_50_prec,tnet_50_rec,tnet_50_f1,tnet_80_prec,tnet_80_rec,tnet_80_f1,tnet_100_prec,tnet_100_rec,tnet_100_f1
SEIR01_sl250_mr025_nv10_10,0.737,0.824,0.778,0.737,0.824,0.778,0.737,0.824,0.778
SEIR01_sl250_mr025_nv10_11,0.65,0.812,0.722,0.765,0.812,0.788,0.765,0.812,0.788
SEIR01_sl250_mr025_nv10_12,0.761,0.814,0.787,0.825,0.767,0.795,0.825,0.767,0.795
SEIR01_sl250_mr025_nv10_13,0.571,0.667,0.615,0.5,0.5,0.5,0.5,0.5,0.5
SEIR01_sl250_mr025_nv10_14,0.46,0.5,0.479,0.561,0.5,0.529,0.561,0.5,0.529
SEIR01_sl250_mr025_nv10_15,0.6,0.857,0.706,0.6,0.857,0.706,0.667,0.857,0.75
SEIR01_sl250_mr025_nv10_16,0.469,0.652,0.545,0.483,0.63,0.547,0.483,0.609,0.538
SEIR01_sl250_mr025_nv10_17,0.286,0.5,0.364,0.333,0.5,0.4,0.333,0.375,0.353
SEIR01_sl250_mr025_nv10_18,0.6,0.656,0.627,0.75,0.656,0.7,0.75,0.656,0.7
SEIR01_sl250_mr025_nv10_19,0.714,0.833,0.769,0.714,0.833,0.769,0.714,0.833,0.769
SEIR01_sl250_mr025_nv10_2,0.625,0.714,0.667,0.643,0.643,0.643,0.643,0.643,0.643
SEIR01_sl250_mr025_nv10_20,0.684,0.722,0.703,0.722,0.722,0.722,0.722,0.722,0.722
SEIR01_sl250_mr025_nv10_3,0.667,0.815,0.733,0.667,0.815,0.733,0.667,0.815,0.733
SEIR01_sl250_mr025_nv10_4,0.812,0.929,0.867,0.812,0.929,0.867,0.812,0.929,0.867
SEIR01_sl250_mr025_nv10_5,0.604,0.707,0.652,0.622,0.683,0.651,0.614,0.659,0.635
SEIR01_sl250_mr025_nv10_6,0.536,0.682,0.6,0.577,0.682,0.625,0.56,0.636,0.596
SEIR01_sl250_mr025_nv10_7,0.706,0.857,0.774,0.706,0.857,0.774,0.706,0.857,0.774
SEIR01_sl250_mr025_nv10_8,0.605,0.765,0.675,0.619,0.765,0.684,0.684,0.765,0.722
SEIR01_sl250_mr025_nv10_9,0.718,0.836,0.773,0.758,0.77,0.764,0.758,0.77,0.764
SEIR01_sl500_mr025_nv10_1,0.455,0.5,0.476,0.455,0.5,0.476,0.455,0.5,0.476
SEIR01_sl500_mr025_nv10_10,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
SEIR01_sl500_mr025_nv10_11,0.737,0.824,0.778,0.737,0.824,0.778,0.737,0.824,0.778
SEIR01_sl500_mr025_nv10_12,0.885,0.902,0.893,0.935,0.843,0.887,0.935,0.843,0.887
SEIR01_sl500_mr025_nv10_13,0.667,0.7,0.683,0.7,0.7,0.7,0.765,0.65,0.703
SEIR01_sl500_mr025_nv10_14,0.714,0.833,0.769,0.714,0.833,0.769,0.714,0.833,0.769
SEIR01_sl500_mr025_nv10_15,0.82,0.862,0.84,0.852,0.793,0.821,0.852,0.793,0.821
SEIR01_sl500_mr025_nv10_16,0.75,0.8,0.774,0.75,0.8,0.774,0.75,0.8,0.774
SEIR01_sl500_mr025_nv10_17,0.429,0.5,0.462,0.333,0.333,0.333,0.333,0.333,0.333
SEIR01_sl500_mr025_nv10_18,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
SEIR01_sl500_mr025_nv10_19,0.5,0.625,0.556,0.556,0.625,0.588,0.556,0.625,0.588
SEIR01_sl500_mr025_nv10_2,0.625,0.625,0.625,0.571,0.5,0.533,0.571,0.5,0.533
SEIR01_sl500_mr025_nv10_20,0.818,0.844,0.831,0.815,0.688,0.746,0.8,0.625,0.702
SEIR01_sl500_mr025_nv10_3,0.826,0.905,0.864,0.826,0.905,0.864,0.826,0.905,0.864
SEIR01_sl500_mr025_nv10_4,0.75,0.857,0.8,0.714,0.714,0.714,0.714,0.714,0.714
SEIR01_sl500_mr025_nv10_5,0.571,0.8,0.667,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl500_mr025_nv10_6,0.857,0.906,0.881,0.885,0.868,0.876,0.913,0.792,0.848
SEIR01_sl500_mr025_nv10_7,0.73,0.794,0.761,0.794,0.794,0.794,0.818,0.794,0.806
SEIR01_sl500_mr025_nv10_8,0.737,0.875,0.8,0.737,0.875,0.8,0.737,0.875,0.8
SEIR01_sl500_mr025_nv10_9,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
SIR003_sl1000_mr025_nv10_1,0.714,0.714,0.714,0.769,0.714,0.741,0.818,0.643,0.72
SIR003_sl1000_mr025_nv10_10,0.786,0.846,0.815,0.75,0.692,0.72,0.75,0.692,0.72
SIR003_sl1000_mr025_nv10_11,0.594,0.633,0.613,0.739,0.567,0.642,0.842,0.533,0.653
SIR003_sl1000_mr025_nv10_12,0.792,0.776,0.784,0.905,0.776,0.835,0.949,0.755,0.841
SIR003_sl1000_mr025_nv10_13,0.667,0.364,0.471,0.667,0.364,0.471,0.667,0.364,0.471
SIR003_sl1000_mr025_nv10_14,0.8,0.8,0.8,0.923,0.8,0.857,0.923,0.8,0.857
SIR003_sl1000_mr025_nv10_15,0.667,0.583,0.622,0.7,0.583,0.636,0.722,0.542,0.619
SIR003_sl1000_mr025_nv10_16,0.632,0.706,0.667,0.786,0.647,0.71,0.786,0.647,0.71
SIR003_sl1000_mr025_nv10_17,0.783,0.783,0.783,0.818,0.783,0.8,0.818,0.783,0.8
SIR003_sl1000_mr025_nv10_18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIR003_sl1000_mr025_nv10_19,0.739,0.708,0.723,0.773,0.708,0.739,0.773,0.708,0.739
SIR003_sl1000_mr025_nv10_2,0.778,0.737,0.757,0.875,0.737,0.8,0.875,0.737,0.8
SIR003_sl1000_mr025_nv10_20,0.778,0.778,0.778,0.75,0.667,0.706,0.75,0.667,0.706
SIR003_sl1000_mr025_nv10_3,0.808,0.808,0.808,0.95,0.731,0.826,1.0,0.731,0.844
SIR003_sl1000_mr025_nv10_4,0.793,0.742,0.767,0.87,0.645,0.741,0.909,0.645,0.755
SIR003_sl1000_mr025_nv10_5,0.714,0.714,0.714,0.833,0.714,0.769,0.833,0.714,0.769
SIR003_sl1000_mr025_nv10_6,0.739,0.739,0.739,0.789,0.652,0.714,0.789,0.652,0.714
SIR003_sl1000_mr025_nv10_7,0.562,0.562,0.562,0.571,0.5,0.533,0.571,0.5,0.533
SIR003_sl1000_mr025_nv10_8,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867
SIR003_sl1000_mr025_nv10_9,0.655,0.679,0.667,0.773,0.607,0.68,0.842,0.571,0.681
SIR003_sl1000_mr05_nv10_1,0.647,0.647,0.647,0.625,0.588,0.606,0.769,0.588,0.667
SIR003_sl1000_mr05_nv10_10,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_11,0.629,0.629,0.629,0.688,0.629,0.657,0.688,0.629,0.657
SIR003_sl1000_mr05_nv10_12,0.792,0.764,0.778,0.857,0.764,0.808,0.875,0.764,0.816
SIR003_sl1000_mr05_nv10_13,0.83,0.786,0.807,0.851,0.714,0.777,0.889,0.714,0.792
SIR003_sl1000_mr05_nv10_14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIR003_sl1000_mr05_nv10_15,0.846,0.846,0.846,0.909,0.769,0.833,0.909,0.769,0.833
SIR003_sl1000_mr05_nv10_16,0.769,0.8,0.784,0.792,0.76,0.776,0.826,0.76,0.792
SIR003_sl1000_mr05_nv10_17,0.583,0.5,0.538,0.75,0.429,0.545,0.75,0.429,0.545
SIR003_sl1000_mr05_nv10_18,0.739,0.739,0.739,0.85,0.739,0.791,0.85,0.739,0.791
SIR003_sl1000_mr05_nv10_19,0.763,0.784,0.773,0.743,0.703,0.722,0.743,0.703,0.722
SIR003_sl1000_mr05_nv10_2,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933
SIR003_sl1000_mr05_nv10_20,0.333,0.222,0.267,0.667,0.222,0.333,0.667,0.222,0.333
SIR003_sl1000_mr05_nv10_3,0.778,0.7,0.737,0.778,0.7,0.737,0.875,0.7,0.778
SIR003_sl1000_mr05_nv10_4,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_5,0.533,0.522,0.527,0.556,0.435,0.488,0.567,0.37,0.447
SIR003_sl1000_mr05_nv10_6,0.619,0.619,0.619,0.684,0.619,0.65,0.812,0.619,0.703
SIR003_sl1000_mr05_nv10_7,0.905,0.826,0.864,0.905,0.826,0.864,0.905,0.826,0.864
SIR003_sl1000_mr05_nv10_8,0.721,0.674,0.697,0.912,0.674,0.775,0.912,0.674,0.775
SIR003_sl1000_mr05_nv10_9,0.75,0.5,0.6,0.824,0.467,0.596,0.867,0.433,0.578
SIR003_sl1000_mr05_nv20_1,0.794,0.771,0.783,0.833,0.714,0.769,0.828,0.686,0.75
SIR003_sl1000_mr05_nv20_10,0.86,0.827,0.843,0.933,0.808,0.866,0.953,0.788,0.863
SIR003_sl1000_mr05_nv20_11,0.667,0.4,0.5,1.0,0.4,0.571,1.0,0.4,0.571
SIR003_sl1000_mr05_nv20_12,0.712,0.673,0.692,0.771,0.673,0.718,0.822,0.673,0.74
SIR003_sl1000_mr05_nv20_13,0.765,0.722,0.743,0.818,0.667,0.735,0.837,0.667,0.742
SIR003_sl1000_mr05_nv20_14,0.9,0.9,0.9,1.0,0.9,0.947,1.0,0.9,0.947
SIR003_sl1000_mr05_nv20_15,0.737,0.737,0.737,0.867,0.684,0.765,0.867,0.684,0.765
SIR003_sl1000_mr05_nv20_16,0.732,0.698,0.714,0.811,0.698,0.75,0.879,0.674,0.763
SIR003_sl1000_mr05_nv20_17,0.717,0.66,0.688,0.78,0.64,0.703,0.8,0.64,0.711
SIR003_sl1000_mr05_nv20_18,0.771,0.711,0.74,0.812,0.684,0.743,0.839,0.684,0.754
SIR003_sl1000_mr05_nv20_19,0.757,0.757,0.757,0.867,0.703,0.776,0.893,0.676,0.769
SIR003_sl1000_mr05_nv20_2,0.745,0.714,0.729,0.805,0.673,0.733,0.821,0.653,0.727
SIR003_sl1000_mr05_nv20_20,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857
SIR003_sl1000_mr05_nv20_3,0.692,0.692,0.692,0.8,0.615,0.696,0.8,0.615,0.696
SIR003_sl1000_mr05_nv20_4,0.844,0.844,0.844,0.897,0.812,0.852,0.897,0.812,0.852
SIR003_sl1000_mr05_nv20_5,0.842,0.667,0.744,0.842,0.667,0.744,0.842,0.667,0.744
SIR003_sl1000_mr05_nv20_6,0.769,0.714,0.741,0.9,0.643,0.75,0.9,0.643,0.75
SIR003_sl1000_mr05_nv20_7,0.769,0.833,0.8,0.7,0.583,0.636,0.7,0.583,0.636
SIR003_sl1000_mr05_nv20_8,0.68,0.63,0.654,0.708,0.63,0.667,0.708,0.63,0.667
SIR003_sl1000_mr05_nv20_9,0.75,0.75,0.75,0.763,0.725,0.744,0.763,0.725,0.744
SIR003_sl1000_mr05_nv5_1,0.694,0.714,0.704,0.774,0.686,0.727,0.793,0.657,0.719
SIR003_sl1000_mr05_nv5_10,0.825,0.805,0.815,0.886,0.756,0.816,0.906,0.707,0.795
SIR003_sl1000_mr05_nv5_11,0.778,0.677,0.724,0.8,0.645,0.714,0.804,0.597,0.685
SIR003_sl1000_mr05_nv5_12,1.0,1.0,1.0,1.0,0.833,0.909,1.0,0.833,0.909
SIR003_sl1000_mr05_nv5_13,0.833,0.909,0.87,0.833,0.909,0.87,0.833,0.909,0.87
SIR003_sl1000_mr05_nv5_14,0.655,0.655,0.655,0.739,0.586,0.654,0.739,0.586,0.654
SIR003_sl1000_mr05_nv5_15,0.81,0.823,0.816,0.833,0.726,0.776,0.872,0.661,0.752
SIR003_sl1000_mr05_nv5_16,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
SIR003_sl1000_mr05_nv5_17,0.638,0.625,0.632,0.718,0.583,0.644,0.788,0.542,0.642
SIR003_sl1000_mr05_nv5_18,0.75,0.75,0.75,0.8,0.75,0.774,0.8,0.75,0.774
SIR003_sl1000_mr05_nv5_19,0.562,0.529,0.545,0.586,0.5,0.54,0.68,0.5,0.576
SIR003_sl1000_mr05_nv5_2,0.667,0.667,0.667,0.636,0.583,0.609,0.636,0.583,0.609
SIR003_sl1000_mr05_nv5_20,0.769,0.769,0.769,0.818,0.692,0.75,0.818,0.692,0.75
SIR003_sl1000_mr05_nv5_3,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
SIR003_sl1000_mr05_nv5_4,0.917,0.786,0.846,0.917,0.786,0.846,1.0,0.786,0.88
SIR003_sl1000_mr05_nv5_5,0.889,0.727,0.8,1.0,0.727,0.842,1.0,0.636,0.778
SIR003_sl1000_mr05_nv5_6,0.5,0.455,0.476,0.556,0.455,0.5,0.714,0.455,0.556
SIR003_sl1000_mr05_nv5_7,0.627,0.568,0.596,0.704,0.514,0.594,0.822,0.5,0.622
SIR003_sl1000_mr05_nv5_8,0.55,0.44,0.489,0.733,0.44,0.55,0.769,0.4,0.526
SIR003_sl1000_mr05_nv5_9,0.542,0.542,0.542,0.591,0.542,0.565,0.65,0.542,0.591
SIR003_sl1000_mr1_nv10_1,0.765,0.765,0.765,0.786,0.647,0.71,0.769,0.588,0.667
SIR003_sl1000_mr1_nv10_10,0.556,0.455,0.5,0.625,0.455,0.526,0.625,0.455,0.526
SIR003_sl1000_mr1_nv10_11,0.7,0.7,0.7,0.778,0.7,0.737,0.857,0.6,0.706
SIR003_sl1000_mr1_nv10_12,0.593,0.593,0.593,0.682,0.556,0.612,0.682,0.556,0.612
SIR003_sl1000_mr1_nv10_13,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167
SIR003_sl1000_mr1_nv10_14,0.765,0.722,0.743,0.806,0.694,0.746,0.862,0.694,0.769
SIR003_sl1000_mr1_nv10_15,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636
SIR003_sl1000_mr1_nv10_16,0.588,0.5,0.541,0.769,0.5,0.606,0.769,0.5,0.606
SIR003_sl1000_mr1_nv10_17,0.75,0.75,0.75,0.75,0.75,0.75,0.767,0.719,0.742
SIR003_sl1000_mr1_nv10_18,0.774,0.727,0.75,0.828,0.727,0.774,0.96,0.727,0.828
SIR003_sl1000_mr1_nv10_19,0.635,0.625,0.63,0.771,0.578,0.661,0.804,0.578,0.673
SIR003_sl1000_mr1_nv10_2,0.705,0.683,0.694,0.755,0.635,0.69,0.76,0.603,0.673
SIR003_sl1000_mr1_nv10_20,0.681,0.681,0.681,0.786,0.638,0.704,0.786,0.638,0.704
SIR003_sl1000_mr1_nv10_3,0.783,0.783,0.783,0.8,0.696,0.744,0.8,0.696,0.744
SIR003_sl1000_mr1_nv10_4,0.786,0.759,0.772,0.8,0.69,0.741,0.8,0.69,0.741
SIR003_sl1000_mr1_nv10_5,0.833,0.556,0.667,1.0,0.556,0.714,1.0,0.556,0.714
SIR003_sl1000_mr1_nv10_6,0.786,0.733,0.759,0.95,0.633,0.76,0.95,0.633,0.76
SIR003_sl1000_mr1_nv10_7,0.75,0.75,0.75,0.833,0.625,0.714,0.833,0.625,0.714
SIR003_sl1000_mr1_nv10_8,0.758,0.714,0.735,0.926,0.714,0.806,0.926,0.714,0.806
SIR003_sl1000_mr1_nv10_9,0.667,0.667,0.667,0.667,0.667,0.667,1.0,0.667,0.8
SIR003_sl250_mr05_nv10_1,0.556,0.625,0.588,0.559,0.594,0.576,0.586,0.531,0.557
SIR003_sl250_mr05_nv10_10,0.524,0.579,0.55,0.55,0.579,0.564,0.55,0.579,0.564
SIR003_sl250_mr05_nv10_11,0.417,0.417,0.417,0.429,0.25,0.316,0.429,0.25,0.316
SIR003_sl250_mr05_nv10_12,0.538,0.538,0.538,0.583,0.538,0.56,0.636,0.538,0.583
SIR003_sl250_mr05_nv10_13,0.25,0.286,0.267,0.2,0.143,0.167,0.2,0.143,0.167
SIR003_sl250_mr05_nv10_14,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
SIR003_sl250_mr05_nv10_15,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SIR003_sl250_mr05_nv10_16,0.583,0.636,0.609,0.6,0.545,0.571,0.6,0.545,0.571
SIR003_sl250_mr05_nv10_17,0.583,0.622,0.602,0.643,0.6,0.621,0.692,0.6,0.643
SIR003_sl250_mr05_nv10_18,0.68,0.63,0.654,0.739,0.63,0.68,0.714,0.556,0.625
SIR003_sl250_mr05_nv10_19,0.267,0.32,0.291,0.28,0.28,0.28,0.292,0.28,0.286
SIR003_sl250_mr05_nv10_2,0.714,0.714,0.714,0.75,0.643,0.692,0.75,0.643,0.692
SIR003_sl250_mr05_nv10_20,0.587,0.659,0.621,0.59,0.561,0.575,0.595,0.537,0.564
SIR003_sl250_mr05_nv10_3,0.818,0.818,0.818,0.85,0.773,0.81,0.842,0.727,0.78
SIR003_sl250_mr05_nv10_4,0.769,0.833,0.8,0.769,0.833,0.8,0.769,0.833,0.8
SIR003_sl250_mr05_nv10_5,0.696,0.727,0.711,0.696,0.727,0.711,0.8,0.727,0.762
SIR003_sl250_mr05_nv10_6,0.697,0.697,0.697,0.733,0.667,0.698,0.846,0.667,0.746
SIR003_sl250_mr05_nv10_7,0.453,0.522,0.485,0.49,0.522,0.505,0.5,0.522,0.511
SIR003_sl250_mr05_nv10_8,0.556,0.588,0.571,0.556,0.588,0.571,0.588,0.588,0.588
SIR003_sl250_mr05_nv10_9,0.273,0.333,0.3,0.429,0.333,0.375,0.5,0.333,0.4
SIR003_sl500_mr05_nv10_1,0.714,0.714,0.714,0.714,0.714,0.714,0.833,0.714,0.769
SIR003_sl500_mr05_nv10_10,0.632,0.615,0.623,0.762,0.41,0.533,0.824,0.359,0.5
SIR003_sl500_mr05_nv10_11,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833
SIR003_sl500_mr05_nv10_12,0.654,0.654,0.654,0.773,0.654,0.708,0.762,0.615,0.681
SIR003_sl500_mr05_nv10_13,0.75,0.688,0.717,0.879,0.604,0.716,0.879,0.604,0.716
SIR003_sl500_mr05_nv10_14,0.7,0.636,0.667,0.769,0.606,0.678,0.8,0.606,0.69
SIR003_sl500_mr05_nv10_15,0.842,0.842,0.842,0.889,0.842,0.865,0.889,0.842,0.865
SIR003_sl500_mr05_nv10_16,0.5,0.583,0.538,0.538,0.583,0.56,0.5,0.417,0.455
SIR003_sl500_mr05_nv10_17,0.636,0.7,0.667,0.778,0.7,0.737,0.778,0.7,0.737
SIR003_sl500_mr05_nv10_18,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846
SIR003_sl500_mr05_nv10_19,0.614,0.583,0.598,0.654,0.567,0.607,0.66,0.55,0.6
SIR003_sl500_mr05_nv10_2,0.765,0.765,0.765,0.812,0.765,0.788,0.812,0.765,0.788
SIR003_sl500_mr05_nv10_20,0.5,0.5,0.5,0.667,0.5,0.571,0.667,0.5,0.571
SIR003_sl500_mr05_nv10_3,0.759,0.759,0.759,0.808,0.724,0.764,0.808,0.724,0.764
SIR003_sl500_mr05_nv10_4,0.72,0.692,0.706,0.789,0.577,0.667,0.789,0.577,0.667
SIR003_sl500_mr05_nv10_5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
SIR003_sl500_mr05_nv10_6,0.762,0.762,0.762,0.824,0.667,0.737,0.875,0.667,0.757
SIR003_sl500_mr05_nv10_7,0.667,0.778,0.718,0.667,0.778,0.718,0.667,0.778,0.718
SIR003_sl500_mr05_nv10_8,0.8,0.8,0.8,0.8,0.8,0.8,0.786,0.733,0.759
SIR003_sl500_mr05_nv10_9,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857
SIR01_sl1000_mr075_nv10_1,0.86,0.86,0.86,0.865,0.789,0.826,0.882,0.789,0.833
SIR01_sl1000_mr075_nv10_10,0.75,0.75,0.75,0.833,0.625,0.714,0.833,0.625,0.714
SIR01_sl1000_mr075_nv10_11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIR01_sl1000_mr075_nv10_12,0.893,0.833,0.862,0.926,0.833,0.877,0.926,0.833,0.877
SIR01_sl1000_mr075_nv10_13,0.643,0.643,0.643,0.778,0.5,0.609,0.778,0.5,0.609
SIR01_sl1000_mr075_nv10_14,0.571,0.571,0.571,0.571,0.571,0.571,0.571,0.571,0.571
SIR01_sl1000_mr075_nv10_15,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833
SIR01_sl1000_mr075_nv10_16,0.842,0.889,0.865,0.842,0.889,0.865,0.941,0.889,0.914
SIR01_sl1000_mr075_nv10_17,0.723,0.662,0.691,0.804,0.577,0.672,0.816,0.563,0.667
SIR01_sl1000_mr075_nv10_18,0.818,0.818,0.818,0.818,0.818,0.818,0.9,0.818,0.857
SIR01_sl1000_mr075_nv10_19,0.556,0.455,0.5,0.8,0.364,0.5,0.8,0.364,0.5
SIR01_sl1000_mr075_nv10_2,0.667,0.545,0.6,0.857,0.545,0.667,0.857,0.545,0.667
SIR01_sl1000_mr075_nv10_20,0.679,0.633,0.655,0.731,0.633,0.679,0.783,0.6,0.679
SIR01_sl1000_mr075_nv10_3,0.556,0.455,0.5,0.625,0.455,0.526,0.625,0.455,0.526
SIR01_sl1000_mr075_nv10_4,0.795,0.816,0.805,0.784,0.763,0.773,0.771,0.711,0.74
SIR01_sl1000_mr075_nv10_5,0.8,0.75,0.774,0.92,0.719,0.807,0.958,0.719,0.821
SIR01_sl1000_mr075_nv10_6,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
SIR01_sl1000_mr075_nv10_7,0.833,0.833,0.833,0.87,0.833,0.851,0.95,0.792,0.864
SIR01_sl1000_mr075_nv10_8,0.769,0.625,0.69,0.818,0.562,0.667,0.818,0.562,0.667
SIR01_sl1000_mr075_nv10_9,0.708,0.63,0.667,0.85,0.63,0.723,0.85,0.63,0.723
SIR01_sl1000_mr15_nv10_10,0.75,0.75,0.75,0.84,0.656,0.737,0.875,0.656,0.75
SIR01_sl1000_mr15_nv10_11,0.778,0.583,0.667,0.875,0.583,0.7,0.875,0.583,0.7
SIR01_sl1000_mr15_nv10_12,0.75,0.75,0.75,0.842,0.667,0.744,0.833,0.625,0.714
SIR01_sl1000_mr15_nv10_14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIR01_sl1000_mr15_nv10_15,0.5,0.474,0.486,0.68,0.447,0.54,0.68,0.447,0.54
SIR01_sl1000_mr15_nv10_16,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857
SIR01_sl1000_mr15_nv10_17,0.85,0.85,0.85,0.941,0.8,0.865,1.0,0.75,0.857
SIR01_sl1000_mr15_nv10_18,0.718,0.739,0.729,0.846,0.638,0.727,0.898,0.638,0.746
SIR01_sl1000_mr15_nv10_19,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
SIR01_sl1000_mr15_nv10_20,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
SIR01_sl1000_mr15_nv10_3,0.839,0.797,0.817,0.882,0.763,0.818,0.898,0.746,0.815
SIR01_sl1000_mr15_nv10_5,0.9,0.9,0.9,1.0,0.8,0.889,1.0,0.8,0.889
SIR01_sl1000_mr15_nv10_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIR01_sl1000_mr15_nv10_7,0.8,0.72,0.758,0.842,0.64,0.727,0.842,0.64,0.727
SIR01_sl1000_mr15_nv10_8,0.8,0.8,0.8,1.0,0.6,0.75,1.0,0.6,0.75
SIR01_sl1000_mr15_nv10_9,0.667,0.667,0.667,0.667,0.667,0.667,0.737,0.667,0.7
SIR01_sl1000_mr15_nv20_1,0.767,0.719,0.742,0.917,0.688,0.786,0.909,0.625,0.741
SIR01_sl1000_mr15_nv20_10,0.769,0.769,0.769,0.769,0.769,0.769,0.818,0.692,0.75
SIR01_sl1000_mr15_nv20_11,0.833,0.847,0.84,0.873,0.814,0.842,0.87,0.797,0.832
SIR01_sl1000_mr15_nv20_12,0.643,0.6,0.621,0.9,0.6,0.72,0.889,0.533,0.667
SIR01_sl1000_mr15_nv20_13,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833
SIR01_sl1000_mr15_nv20_14,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
SIR01_sl1000_mr15_nv20_15,0.429,0.429,0.429,0.455,0.357,0.4,0.455,0.357,0.4
SIR01_sl1000_mr15_nv20_16,0.9,0.857,0.878,0.947,0.857,0.9,0.947,0.857,0.9
SIR01_sl1000_mr15_nv20_17,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
SIR01_sl1000_mr15_nv20_18,0.9,0.9,0.9,0.963,0.867,0.912,0.963,0.867,0.912
SIR01_sl1000_mr15_nv20_19,0.957,0.882,0.918,0.956,0.843,0.896,0.956,0.843,0.896
SIR01_sl1000_mr15_nv20_2,0.8,0.4,0.533,0.8,0.4,0.533,0.8,0.4,0.533
SIR01_sl1000_mr15_nv20_20,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786
SIR01_sl1000_mr15_nv20_3,0.8,0.8,0.8,1.0,0.4,0.571,1.0,0.4,0.571
SIR01_sl1000_mr15_nv20_4,0.773,0.739,0.756,0.862,0.725,0.787,0.875,0.71,0.784
SIR01_sl1000_mr15_nv20_5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
SIR01_sl1000_mr15_nv20_6,0.778,0.875,0.824,0.875,0.875,0.875,0.875,0.875,0.875
SIR01_sl1000_mr15_nv20_7,0.821,0.821,0.821,0.808,0.75,0.778,0.808,0.75,0.778
SIR01_sl1000_mr15_nv20_8,0.86,0.771,0.813,0.9,0.75,0.818,0.9,0.75,0.818
SIR01_sl1000_mr15_nv20_9,0.826,0.731,0.776,0.895,0.654,0.756,0.895,0.654,0.756
SIR01_sl1000_mr15_nv5_1,0.731,0.679,0.704,0.773,0.607,0.68,0.773,0.607,0.68
SIR01_sl1000_mr15_nv5_10,0.727,0.727,0.727,1.0,0.727,0.842,1.0,0.727,0.842
SIR01_sl1000_mr15_nv5_11,0.667,0.667,0.667,0.714,0.556,0.625,0.714,0.556,0.625
SIR01_sl1000_mr15_nv5_12,0.632,0.522,0.571,0.611,0.478,0.537,0.647,0.478,0.55
SIR01_sl1000_mr15_nv5_13,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812
SIR01_sl1000_mr15_nv5_14,0.727,0.727,0.727,0.75,0.545,0.632,0.846,0.5,0.629
SIR01_sl1000_mr15_nv5_15,0.773,0.756,0.764,0.744,0.644,0.69,0.806,0.644,0.716
SIR01_sl1000_mr15_nv5_16,0.444,0.444,0.444,0.75,0.333,0.462,0.75,0.333,0.462
SIR01_sl1000_mr15_nv5_17,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SIR01_sl1000_mr15_nv5_18,0.667,0.667,0.667,1.0,0.667,0.8,1.0,0.667,0.8
SIR01_sl1000_mr15_nv5_19,0.6,0.571,0.585,0.647,0.524,0.579,0.647,0.524,0.579
SIR01_sl1000_mr15_nv5_2,0.6,0.6,0.6,0.741,0.571,0.645,0.731,0.543,0.623
SIR01_sl1000_mr15_nv5_20,0.706,0.706,0.706,0.833,0.588,0.69,0.833,0.588,0.69
SIR01_sl1000_mr15_nv5_3,0.571,0.444,0.5,0.667,0.444,0.533,0.75,0.333,0.462
