dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,phylo_complex_prec,phylo_complex_rec,phylo_complex_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SEIR015_sl1000_mr05_nv10_20,0.263,0.122,0.167,1,0.561,0.719,0.923,0.585,0.716,0.353,0.439,0.391,0.316,0.293,0.304,1,0.268,0.423
SEIR015_sl1000_mr05_nv10_3,0.884,0.679,0.768,0.978,0.786,0.871,0.939,0.821,0.876,0.814,0.857,0.835,0.882,0.804,0.841,0.98,0.857,0.914
SEIR015_sl1000_mr05_nv10_4,0.474,0.281,0.353,1,0.625,0.769,0.926,0.781,0.847,0.6,0.656,0.627,0.618,0.656,0.636,0.964,0.844,0.9
SEIR015_sl1000_mr05_nv10_5,0.714,0.455,0.556,1,0.727,0.842,0.889,0.727,0.8,0.818,0.818,0.818,0.818,0.818,0.818,0.875,0.636,0.737
SEIR015_sl1000_mr05_nv10_6,0.867,0.433,0.578,1,0.833,0.909,0.926,0.833,0.877,0.625,0.667,0.645,0.818,0.6,0.692,0.909,0.667,0.769
SEIR015_sl1000_mr05_nv10_7,0.615,0.615,0.615,0.875,0.538,0.667,0.833,0.769,0.8,0.476,0.769,0.588,0.562,0.692,0.621,0.909,0.769,0.833
SEIR015_sl1000_mr05_nv10_8,0.846,0.611,0.71,1,0.861,0.925,0.97,0.889,0.928,0.725,0.806,0.763,0.743,0.722,0.732,1,0.833,0.909
SEIR015_sl1000_mr05_nv10_9,0.875,0.467,0.609,1,0.6,0.75,0.9,0.6,0.72,0.611,0.733,0.667,0.923,0.8,0.857,1,0.533,0.696
SEIR01_sl1000_mr05_nv10_1,0.857,0.462,0.6,0.909,0.769,0.833,0.909,0.769,0.833,0.692,0.692,0.692,0.818,0.692,0.75,0.909,0.769,0.833
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.815,0.688,0.746,0.926,0.781,0.847,0.929,0.812,0.867,0.714,0.781,0.746,0.758,0.781,0.769,0.933,0.875,0.903
SEIR01_sl1000_mr05_nv10_12,0.932,0.707,0.804,0.917,0.759,0.83,0.922,0.81,0.862,0.847,0.862,0.855,0.94,0.81,0.87,0.915,0.741,0.819
SEIR01_sl1000_mr05_nv10_13,0.667,0.25,0.364,0.833,0.625,0.714,0.833,0.625,0.714,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_14,0.923,0.615,0.738,1,0.846,0.917,1,0.872,0.932,0.725,0.744,0.734,0.914,0.821,0.865,1,0.692,0.818
SEIR01_sl1000_mr05_nv10_15,0.917,0.688,0.786,0.923,0.75,0.828,0.923,0.75,0.828,0.875,0.875,0.875,0.867,0.812,0.839,0.938,0.938,0.938
SEIR01_sl1000_mr05_nv10_16,0.95,0.864,0.905,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955
SEIR01_sl1000_mr05_nv10_17,0.929,0.591,0.722,0.913,0.955,0.933,0.875,0.955,0.913,0.87,0.909,0.889,0.952,0.909,0.93,0.952,0.909,0.93
SEIR01_sl1000_mr05_nv10_18,0.913,0.75,0.824,0.98,0.875,0.925,0.98,0.893,0.935,0.86,0.875,0.867,0.873,0.857,0.865,0.981,0.929,0.954
SEIR01_sl1000_mr05_nv10_19,1,0.429,0.6,1,0.571,0.727,1,0.571,0.727,0.5,0.571,0.533,0.667,0.571,0.615,1,0.571,0.727
SEIR01_sl1000_mr05_nv10_2,0.875,0.875,0.875,0.857,0.75,0.8,0.857,0.75,0.8,0.889,1,0.941,0.889,1,0.941,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_20,0.949,0.712,0.813,0.958,0.885,0.92,0.96,0.923,0.941,0.811,0.827,0.819,0.935,0.827,0.878,0.978,0.865,0.918
SEIR01_sl1000_mr05_nv10_3,0.882,0.6,0.714,0.81,0.68,0.739,0.81,0.68,0.739,0.84,0.84,0.84,0.909,0.8,0.851,0.895,0.68,0.773
SEIR01_sl1000_mr05_nv10_4,0.778,0.636,0.7,1,0.636,0.778,1,0.727,0.842,0.667,0.727,0.696,0.667,0.727,0.696,0.8,0.727,0.762
SEIR01_sl1000_mr05_nv10_5,0.875,0.778,0.824,0.941,0.889,0.914,0.941,0.889,0.914,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr05_nv10_6,0.846,0.55,0.667,0.973,0.9,0.935,0.973,0.9,0.935,0.85,0.85,0.85,0.889,0.8,0.842,0.946,0.875,0.909
SEIR01_sl1000_mr05_nv10_7,0.842,0.696,0.762,0.919,0.739,0.819,0.895,0.739,0.81,0.787,0.804,0.796,0.804,0.804,0.804,0.946,0.761,0.843
SEIR01_sl1000_mr05_nv10_8,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_9,0.944,0.654,0.773,1,0.923,0.96,0.96,0.923,0.941,0.923,0.923,0.923,0.923,0.923,0.923,0.957,0.846,0.898
SIR003_sl1000_mr05_nv10_1,0.818,0.529,0.643,1,0.647,0.786,1,0.647,0.786,0.588,0.588,0.588,0.625,0.588,0.606,1,0.706,0.828
SIR003_sl1000_mr05_nv10_10,1,0.769,0.87,1,0.769,0.87,1,0.769,0.87,0.846,0.846,0.846,0.846,0.846,0.846,0.917,0.846,0.88
SIR003_sl1000_mr05_nv10_11,0.81,0.486,0.607,0.759,0.629,0.688,0.759,0.629,0.688,0.686,0.686,0.686,0.688,0.629,0.657,0.793,0.657,0.719
SIR003_sl1000_mr05_nv10_12,0.974,0.673,0.796,0.824,0.764,0.792,0.808,0.764,0.785,0.782,0.782,0.782,0.857,0.764,0.808,0.93,0.727,0.816
SIR003_sl1000_mr05_nv10_13,0.968,0.536,0.69,0.796,0.696,0.743,0.784,0.714,0.748,0.821,0.821,0.821,0.851,0.714,0.777,0.87,0.714,0.784
SIR003_sl1000_mr05_nv10_14,1,0.7,0.824,1,0.9,0.947,1,0.9,0.947,1,1,1,1,1,1,1,0.9,0.947
SIR003_sl1000_mr05_nv10_15,1,0.615,0.762,0.9,0.692,0.783,0.9,0.692,0.783,0.846,0.846,0.846,0.909,0.769,0.833,0.909,0.769,0.833
SIR003_sl1000_mr05_nv10_16,0.938,0.6,0.732,0.783,0.72,0.75,0.783,0.72,0.75,0.808,0.84,0.824,0.792,0.76,0.776,0.85,0.68,0.756
SIR003_sl1000_mr05_nv10_17,0.833,0.357,0.5,0.75,0.429,0.545,0.75,0.429,0.545,0.5,0.5,0.5,0.75,0.429,0.545,0.75,0.429,0.545
SIR003_sl1000_mr05_nv10_18,0.933,0.609,0.737,0.938,0.652,0.769,0.938,0.652,0.769,0.739,0.739,0.739,0.85,0.739,0.791,0.85,0.739,0.791
SIR003_sl1000_mr05_nv10_19,0.833,0.676,0.746,0.967,0.784,0.866,0.967,0.784,0.866,0.763,0.784,0.773,0.743,0.703,0.722,0.97,0.865,0.914
SIR003_sl1000_mr05_nv10_2,1,0.667,0.8,0.917,0.733,0.815,0.917,0.733,0.815,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933
SIR003_sl1000_mr05_nv10_20,1,0.222,0.364,0.375,0.333,0.353,0.375,0.333,0.353,0.444,0.444,0.444,0.667,0.222,0.333,0.8,0.444,0.571
SIR003_sl1000_mr05_nv10_3,1,0.6,0.75,0.875,0.7,0.778,0.875,0.7,0.778,0.8,0.8,0.8,0.778,0.7,0.737,0.875,0.7,0.778
SIR003_sl1000_mr05_nv10_4,0.9,0.692,0.783,0.9,0.692,0.783,0.9,0.692,0.783,0.846,0.846,0.846,0.846,0.846,0.846,0.917,0.846,0.88
SIR003_sl1000_mr05_nv10_5,0.769,0.217,0.339,0.649,0.522,0.578,0.632,0.522,0.571,0.435,0.435,0.435,0.556,0.435,0.488,0.71,0.478,0.571
SIR003_sl1000_mr05_nv10_6,0.909,0.476,0.625,0.846,0.524,0.647,0.786,0.524,0.629,0.762,0.762,0.762,0.684,0.619,0.65,0.778,0.667,0.718
SIR003_sl1000_mr05_nv10_7,1,0.739,0.85,0.905,0.826,0.864,0.905,0.826,0.864,0.87,0.87,0.87,0.905,0.826,0.864,0.905,0.826,0.864
SIR003_sl1000_mr05_nv10_8,1,0.5,0.667,0.837,0.783,0.809,0.837,0.783,0.809,0.717,0.717,0.717,0.912,0.674,0.775,0.854,0.761,0.805
SIR003_sl1000_mr05_nv10_9,1,0.367,0.537,0.7,0.467,0.56,0.7,0.467,0.56,0.533,0.533,0.533,0.824,0.467,0.596,0.737,0.467,0.571
SIR003_sl1000_mr05_nv20_1,1,0.543,0.704,0.844,0.771,0.806,0.844,0.771,0.806,0.743,0.743,0.743,0.833,0.714,0.769,0.889,0.686,0.774
SIR003_sl1000_mr05_nv20_10,1,0.731,0.844,0.857,0.808,0.832,0.857,0.808,0.832,0.827,0.827,0.827,0.933,0.808,0.866,0.952,0.769,0.851
SIR003_sl1000_mr05_nv20_11,1,0.4,0.571,1,0.4,0.571,1,0.4,0.571,0.4,0.4,0.4,1,0.4,0.571,1,0.4,0.571
SIR003_sl1000_mr05_nv20_12,0.848,0.509,0.636,0.78,0.709,0.743,0.788,0.745,0.766,0.673,0.673,0.673,0.771,0.673,0.718,0.923,0.655,0.766
SIR003_sl1000_mr05_nv20_13,0.97,0.593,0.736,0.761,0.648,0.7,0.761,0.648,0.7,0.759,0.759,0.759,0.818,0.667,0.735,0.886,0.574,0.697
SIR003_sl1000_mr05_nv20_14,1,0.9,0.947,1,0.9,0.947,1,0.9,0.947,1,1,1,1,0.9,0.947,1,0.9,0.947
SIR003_sl1000_mr05_nv20_15,0.867,0.684,0.765,0.812,0.684,0.743,0.812,0.684,0.743,0.737,0.737,0.737,0.867,0.684,0.765,0.824,0.737,0.778
SIR003_sl1000_mr05_nv20_16,0.931,0.628,0.75,0.882,0.698,0.779,0.882,0.698,0.779,0.705,0.721,0.713,0.811,0.698,0.75,0.909,0.698,0.789
SIR003_sl1000_mr05_nv20_17,0.933,0.56,0.7,0.739,0.68,0.708,0.739,0.68,0.708,0.667,0.68,0.673,0.78,0.64,0.703,0.872,0.68,0.764
SIR003_sl1000_mr05_nv20_18,1,0.553,0.712,0.788,0.684,0.732,0.788,0.684,0.732,0.763,0.763,0.763,0.812,0.684,0.743,0.852,0.605,0.708
SIR003_sl1000_mr05_nv20_19,1,0.568,0.724,0.848,0.757,0.8,0.824,0.757,0.789,0.757,0.757,0.757,0.867,0.703,0.776,0.871,0.73,0.794
SIR003_sl1000_mr05_nv20_2,0.897,0.531,0.667,0.85,0.694,0.764,0.85,0.694,0.764,0.7,0.714,0.707,0.805,0.673,0.733,0.892,0.673,0.767
SIR003_sl1000_mr05_nv20_20,1,0.714,0.833,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857
SIR003_sl1000_mr05_nv20_3,1,0.538,0.7,0.8,0.615,0.696,0.8,0.615,0.696,0.692,0.692,0.692,0.8,0.615,0.696,0.8,0.615,0.696
SIR003_sl1000_mr05_nv20_4,0.95,0.594,0.731,0.885,0.719,0.793,0.885,0.719,0.793,0.844,0.844,0.844,0.897,0.812,0.852,0.889,0.75,0.814
SIR003_sl1000_mr05_nv20_5,0.882,0.625,0.732,0.889,0.667,0.762,0.889,0.667,0.762,0.667,0.667,0.667,0.842,0.667,0.744,0.889,0.667,0.762
SIR003_sl1000_mr05_nv20_6,0.9,0.643,0.75,0.846,0.786,0.815,0.846,0.786,0.815,0.714,0.714,0.714,0.9,0.643,0.75,0.846,0.786,0.815
SIR003_sl1000_mr05_nv20_7,0.778,0.583,0.667,0.8,0.667,0.727,0.818,0.75,0.783,0.769,0.833,0.8,0.7,0.583,0.636,0.818,0.75,0.783
SIR003_sl1000_mr05_nv20_8,0.875,0.519,0.651,0.739,0.63,0.68,0.739,0.63,0.68,0.63,0.63,0.63,0.708,0.63,0.667,0.739,0.63,0.68
SIR003_sl1000_mr05_nv20_9,0.862,0.625,0.725,0.811,0.75,0.779,0.821,0.8,0.81,0.725,0.725,0.725,0.763,0.725,0.744,0.829,0.725,0.773
SIR003_sl1000_mr05_nv5_1,0.938,0.429,0.588,0.733,0.629,0.677,0.71,0.629,0.667,0.667,0.686,0.676,0.774,0.686,0.727,0.852,0.657,0.742
SIR003_sl1000_mr05_nv5_10,1,0.512,0.677,0.844,0.659,0.74,0.818,0.659,0.73,0.805,0.805,0.805,0.886,0.756,0.816,0.9,0.659,0.761
SIR003_sl1000_mr05_nv5_11,0.897,0.419,0.571,0.818,0.581,0.679,0.804,0.597,0.685,0.661,0.661,0.661,0.8,0.645,0.714,0.872,0.548,0.673
SIR003_sl1000_mr05_nv5_12,1,0.833,0.909,1,0.667,0.8,0.8,0.667,0.727,1,1,1,1,0.833,0.909,0.8,0.667,0.727
SIR003_sl1000_mr05_nv5_13,1,0.545,0.706,0.8,0.364,0.5,0.833,0.455,0.588,0.833,0.909,0.87,0.833,0.909,0.87,0.833,0.455,0.588
SIR003_sl1000_mr05_nv5_14,0.923,0.414,0.571,0.81,0.586,0.68,0.81,0.586,0.68,0.69,0.69,0.69,0.739,0.586,0.654,1,0.483,0.651
SIR003_sl1000_mr05_nv5_15,1,0.435,0.607,0.83,0.629,0.716,0.84,0.677,0.75,0.774,0.774,0.774,0.833,0.726,0.776,0.83,0.629,0.716
SIR003_sl1000_mr05_nv5_16,1,0.167,0.286,0.667,0.333,0.444,0.667,0.333,0.444,0.667,0.667,0.667,0.667,0.667,0.667,0.833,0.833,0.833
SIR003_sl1000_mr05_nv5_17,1,0.333,0.5,0.667,0.542,0.598,0.659,0.562,0.607,0.604,0.604,0.604,0.718,0.583,0.644,0.71,0.458,0.557
SIR003_sl1000_mr05_nv5_18,1,0.438,0.609,0.727,0.5,0.593,0.727,0.5,0.593,0.75,0.75,0.75,0.8,0.75,0.774,0.733,0.688,0.71
SIR003_sl1000_mr05_nv5_19,0.812,0.382,0.52,0.708,0.5,0.586,0.679,0.559,0.613,0.543,0.559,0.551,0.586,0.5,0.54,0.76,0.559,0.644
SIR003_sl1000_mr05_nv5_2,0.6,0.25,0.353,0.556,0.417,0.476,0.556,0.417,0.476,0.583,0.583,0.583,0.636,0.583,0.609,0.667,0.667,0.667
SIR003_sl1000_mr05_nv5_20,1,0.462,0.632,1,0.385,0.556,1,0.462,0.632,0.769,0.769,0.769,0.818,0.692,0.75,1,0.615,0.762
SIR003_sl1000_mr05_nv5_3,1,0.375,0.545,0.833,0.625,0.714,0.833,0.625,0.714,0.625,0.625,0.625,0.75,0.75,0.75,0.833,0.625,0.714
SIR003_sl1000_mr05_nv5_4,1,0.786,0.88,1,0.786,0.88,1,0.786,0.88,0.857,0.857,0.857,0.917,0.786,0.846,1,0.786,0.88
SIR003_sl1000_mr05_nv5_5,1,0.455,0.625,1,0.455,0.625,1,0.455,0.625,0.818,0.818,0.818,1,0.727,0.842,1,0.455,0.625
SIR003_sl1000_mr05_nv5_6,0.75,0.273,0.4,0.571,0.364,0.444,0.571,0.364,0.444,0.455,0.455,0.455,0.556,0.455,0.5,1,0.364,0.533
SIR003_sl1000_mr05_nv5_7,0.967,0.392,0.558,0.667,0.514,0.58,0.661,0.527,0.586,0.56,0.568,0.564,0.704,0.514,0.594,0.857,0.486,0.621
SIR003_sl1000_mr05_nv5_8,0.889,0.32,0.471,0.882,0.6,0.714,0.882,0.6,0.714,0.462,0.48,0.471,0.733,0.44,0.55,0.875,0.56,0.683
SIR003_sl1000_mr05_nv5_9,0.714,0.417,0.526,0.867,0.542,0.667,0.875,0.583,0.7,0.5,0.542,0.52,0.591,0.542,0.565,0.867,0.542,0.667
SIR003_sl250_mr05_nv10_1,0.68,0.531,0.596,0.762,0.5,0.604,0.762,0.5,0.604,0.556,0.625,0.588,0.559,0.594,0.576,0.704,0.594,0.644
SIR003_sl250_mr05_nv10_10,0.692,0.474,0.562,0.727,0.421,0.533,0.812,0.684,0.743,0.524,0.579,0.55,0.55,0.579,0.564,0.812,0.684,0.743
SIR003_sl250_mr05_nv10_11,0.429,0.25,0.316,1,0.25,0.4,0.714,0.417,0.526,0.467,0.583,0.519,0.429,0.25,0.316,0.571,0.333,0.421
SIR003_sl250_mr05_nv10_12,0.75,0.462,0.571,0.857,0.462,0.6,0.818,0.692,0.75,0.571,0.615,0.593,0.583,0.538,0.56,0.875,0.538,0.667
SIR003_sl250_mr05_nv10_13,0,0,0,1,0.143,0.25,1,0.286,0.444,0.125,0.143,0.133,0.2,0.143,0.167,0,0,0
SIR003_sl250_mr05_nv10_14,0.8,0.5,0.615,1,0.625,0.769,0.857,0.75,0.8,0.75,0.75,0.75,0.75,0.75,0.75,0.875,0.875,0.875
SIR003_sl250_mr05_nv10_15,1,0.5,0.667,1,0.25,0.4,0.667,0.25,0.364,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.75,0.75
SIR003_sl250_mr05_nv10_16,0.714,0.455,0.556,0.833,0.455,0.588,0.875,0.636,0.737,0.5,0.545,0.522,0.6,0.545,0.571,0.889,0.727,0.8
SIR003_sl250_mr05_nv10_17,0.714,0.556,0.625,0.786,0.489,0.603,0.757,0.622,0.683,0.625,0.667,0.645,0.643,0.6,0.621,0.909,0.667,0.769
SIR003_sl250_mr05_nv10_18,0.765,0.481,0.591,0.875,0.259,0.4,0.889,0.593,0.711,0.63,0.63,0.63,0.739,0.63,0.68,0.765,0.481,0.591
SIR003_sl250_mr05_nv10_19,0.5,0.24,0.324,0.571,0.32,0.41,0.571,0.32,0.41,0.333,0.4,0.364,0.28,0.28,0.28,0.615,0.32,0.421
SIR003_sl250_mr05_nv10_2,0.625,0.714,0.667,1,0.857,0.923,1,0.857,0.923,0.714,0.714,0.714,0.75,0.643,0.692,1,0.929,0.963
SIR003_sl250_mr05_nv10_20,0.615,0.39,0.478,0.889,0.39,0.542,0.852,0.561,0.676,0.565,0.634,0.598,0.59,0.561,0.575,0.87,0.488,0.625
SIR003_sl250_mr05_nv10_3,0.875,0.636,0.737,0.875,0.636,0.737,0.882,0.682,0.769,0.818,0.818,0.818,0.85,0.773,0.81,0.9,0.818,0.857
SIR003_sl250_mr05_nv10_4,0.889,0.667,0.762,0.8,0.333,0.471,0.8,0.667,0.727,0.769,0.833,0.8,0.769,0.833,0.8,0.8,0.667,0.727
SIR003_sl250_mr05_nv10_5,0.737,0.636,0.683,0.923,0.545,0.686,0.867,0.591,0.703,0.773,0.773,0.773,0.696,0.727,0.711,0.875,0.636,0.737
SIR003_sl250_mr05_nv10_6,0.783,0.545,0.643,0.9,0.545,0.679,0.84,0.636,0.724,0.735,0.758,0.746,0.733,0.667,0.698,0.826,0.576,0.679
SIR003_sl250_mr05_nv10_7,0.6,0.391,0.474,0.8,0.435,0.563,0.781,0.543,0.641,0.444,0.522,0.48,0.49,0.522,0.505,0.786,0.478,0.595
SIR003_sl250_mr05_nv10_8,0.778,0.412,0.538,0.875,0.412,0.56,0.909,0.588,0.714,0.556,0.588,0.571,0.556,0.588,0.571,0.846,0.647,0.733
SIR003_sl250_mr05_nv10_9,0.6,0.333,0.429,0.5,0.111,0.182,0.5,0.222,0.308,0.364,0.444,0.4,0.429,0.333,0.375,0.6,0.333,0.429
SIR003_sl500_mr05_nv10_1,0.8,0.571,0.667,0.8,0.571,0.667,0.833,0.714,0.769,0.857,0.857,0.857,0.714,0.714,0.714,0.833,0.714,0.769
SIR003_sl500_mr05_nv10_10,0.923,0.308,0.462,0.75,0.462,0.571,0.731,0.487,0.585,0.525,0.538,0.532,0.762,0.41,0.533,0.941,0.41,0.571
SIR003_sl500_mr05_nv10_11,1,0.167,0.286,1,0.333,0.5,1,0.333,0.5,0.833,0.833,0.833,0.833,0.833,0.833,0.8,0.667,0.727
SIR003_sl500_mr05_nv10_12,0.824,0.538,0.651,0.636,0.538,0.583,0.667,0.692,0.679,0.643,0.692,0.667,0.773,0.654,0.708,0.773,0.654,0.708
SIR003_sl500_mr05_nv10_13,0.931,0.562,0.701,0.825,0.688,0.75,0.81,0.708,0.756,0.708,0.708,0.708,0.879,0.604,0.716,0.842,0.667,0.744
SIR003_sl500_mr05_nv10_14,0.81,0.515,0.63,0.818,0.545,0.655,0.833,0.606,0.702,0.667,0.667,0.667,0.769,0.606,0.678,0.818,0.545,0.655
SIR003_sl500_mr05_nv10_15,1,0.737,0.848,0.929,0.684,0.788,0.929,0.684,0.788,0.842,0.842,0.842,0.889,0.842,0.865,1,0.684,0.813
SIR003_sl500_mr05_nv10_16,0.5,0.25,0.333,0.7,0.583,0.636,0.636,0.583,0.609,0.462,0.5,0.48,0.538,0.583,0.56,0.7,0.583,0.636
SIR003_sl500_mr05_nv10_17,0.833,0.5,0.625,0.875,0.7,0.778,0.875,0.7,0.778,0.636,0.7,0.667,0.778,0.7,0.737,0.8,0.8,0.8
SIR003_sl500_mr05_nv10_18,1,0.615,0.762,1,0.615,0.762,1,0.769,0.87,0.846,0.846,0.846,0.846,0.846,0.846,0.923,0.923,0.923
SIR003_sl500_mr05_nv10_19,0.756,0.517,0.614,0.86,0.717,0.782,0.843,0.717,0.775,0.633,0.633,0.633,0.654,0.567,0.607,0.894,0.7,0.785
SIR003_sl500_mr05_nv10_2,0.958,0.676,0.793,0.926,0.735,0.82,0.926,0.735,0.82,0.794,0.794,0.794,0.812,0.765,0.788,0.926,0.735,0.82
SIR003_sl500_mr05_nv10_20,1,0.375,0.545,0.667,0.5,0.571,0.667,0.5,0.571,0.625,0.625,0.625,0.667,0.5,0.571,0.625,0.625,0.625
SIR003_sl500_mr05_nv10_3,0.875,0.724,0.792,0.875,0.724,0.792,0.84,0.724,0.778,0.759,0.759,0.759,0.808,0.724,0.764,0.957,0.759,0.846
SIR003_sl500_mr05_nv10_4,0.933,0.538,0.683,0.882,0.577,0.698,0.882,0.577,0.698,0.667,0.692,0.679,0.789,0.577,0.667,0.882,0.577,0.698
SIR003_sl500_mr05_nv10_5,1,0.8,0.889,1,0.6,0.75,0.857,0.6,0.706,0.9,0.9,0.9,0.9,0.9,0.9,1,0.6,0.75
SIR003_sl500_mr05_nv10_6,0.909,0.476,0.625,0.867,0.619,0.722,0.875,0.667,0.757,0.762,0.762,0.762,0.824,0.667,0.737,0.833,0.476,0.606
SIR003_sl500_mr05_nv10_7,0.706,0.667,0.686,1,0.722,0.839,0.929,0.722,0.813,0.667,0.778,0.718,0.667,0.778,0.718,0.933,0.778,0.848
SIR003_sl500_mr05_nv10_8,0.778,0.467,0.583,0.875,0.467,0.609,0.8,0.533,0.64,0.6,0.6,0.6,0.8,0.8,0.8,1,0.733,0.846
SIR003_sl500_mr05_nv10_9,1,0.429,0.6,1,0.429,0.6,1,0.429,0.6,0.857,0.857,0.857,0.857,0.857,0.857,1,0.714,0.833
SIR01_sl1000_mr075_nv10_1,0.97,0.561,0.711,0.867,0.684,0.765,0.87,0.702,0.777,0.825,0.825,0.825,0.865,0.789,0.826,0.915,0.754,0.827
SIR01_sl1000_mr075_nv10_10,1,0.5,0.667,1,0.875,0.933,1,0.875,0.933,0.75,0.75,0.75,0.833,0.625,0.714,1,1,1
SIR01_sl1000_mr075_nv10_11,1,0.714,0.833,1,0.714,0.833,1,0.714,0.833,1,1,1,1,1,1,1,0.857,0.923
SIR01_sl1000_mr075_nv10_12,0.95,0.633,0.76,1,0.6,0.75,1,0.6,0.75,0.833,0.833,0.833,0.926,0.833,0.877,0.962,0.833,0.893
SIR01_sl1000_mr075_nv10_13,1,0.286,0.444,0.6,0.429,0.5,0.6,0.429,0.5,0.643,0.643,0.643,0.778,0.5,0.609,1,0.429,0.6
SIR01_sl1000_mr075_nv10_14,1,0.571,0.727,0.8,0.571,0.667,0.8,0.571,0.667,0.571,0.571,0.571,0.571,0.571,0.571,0.833,0.714,0.769
SIR01_sl1000_mr075_nv10_15,1,0.667,0.8,1,0.5,0.667,1,0.5,0.667,0.833,0.833,0.833,0.833,0.833,0.833,1,0.667,0.8
SIR01_sl1000_mr075_nv10_16,0.909,0.556,0.69,0.769,0.556,0.645,0.667,0.556,0.606,0.842,0.889,0.865,0.842,0.889,0.865,0.778,0.778,0.778
SIR01_sl1000_mr075_nv10_17,0.941,0.451,0.61,0.78,0.549,0.645,0.765,0.549,0.639,0.722,0.732,0.727,0.804,0.577,0.672,0.949,0.521,0.673
SIR01_sl1000_mr075_nv10_18,1,0.818,0.9,0.9,0.818,0.857,0.9,0.818,0.857,0.909,0.909,0.909,0.818,0.818,0.818,0.9,0.818,0.857
SIR01_sl1000_mr075_nv10_19,1,0.273,0.429,0.429,0.273,0.333,0.429,0.273,0.333,0.364,0.364,0.364,0.8,0.364,0.5,0.667,0.182,0.286
SIR01_sl1000_mr075_nv10_2,1,0.545,0.706,1,0.455,0.625,1,0.455,0.625,0.545,0.545,0.545,0.857,0.545,0.667,0.875,0.636,0.737
