dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,phylo_complex_prec,phylo_complex_rec,phylo_complex_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SIR003_sl250_mr05_nv10_15,1,0.5,0.667,1,0.25,0.4,0.667,0.25,0.364,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.75,0.75
SIR003_sl250_mr05_nv10_16,0.714,0.455,0.556,0.833,0.455,0.588,0.875,0.636,0.737,0.5,0.545,0.522,0.6,0.545,0.571,0.889,0.727,0.8
SIR003_sl250_mr05_nv10_17,0.714,0.556,0.625,0.786,0.489,0.603,0.757,0.622,0.683,0.625,0.667,0.645,0.643,0.6,0.621,0.909,0.667,0.769
SIR003_sl250_mr05_nv10_18,0.765,0.481,0.591,0.875,0.259,0.4,0.889,0.593,0.711,0.63,0.63,0.63,0.739,0.63,0.68,0.765,0.481,0.591
SIR003_sl250_mr05_nv10_19,0.5,0.24,0.324,0.571,0.32,0.41,0.571,0.32,0.41,0.333,0.4,0.364,0.28,0.28,0.28,0.615,0.32,0.421
SIR003_sl250_mr05_nv10_2,0.625,0.714,0.667,1,0.857,0.923,1,0.857,0.923,0.714,0.714,0.714,0.75,0.643,0.692,1,0.929,0.963
SIR003_sl250_mr05_nv10_20,0.615,0.39,0.478,0.889,0.39,0.542,0.852,0.561,0.676,0.565,0.634,0.598,0.59,0.561,0.575,0.87,0.488,0.625
SIR003_sl250_mr05_nv10_3,0.875,0.636,0.737,0.875,0.636,0.737,0.882,0.682,0.769,0.818,0.818,0.818,0.85,0.773,0.81,0.9,0.818,0.857
SIR003_sl250_mr05_nv10_4,0.889,0.667,0.762,0.8,0.333,0.471,0.8,0.667,0.727,0.769,0.833,0.8,0.769,0.833,0.8,0.8,0.667,0.727
SIR003_sl250_mr05_nv10_5,0.737,0.636,0.683,0.923,0.545,0.686,0.867,0.591,0.703,0.773,0.773,0.773,0.696,0.727,0.711,0.875,0.636,0.737
SIR003_sl250_mr05_nv10_6,0.783,0.545,0.643,0.9,0.545,0.679,0.84,0.636,0.724,0.735,0.758,0.746,0.733,0.667,0.698,0.826,0.576,0.679
SIR003_sl250_mr05_nv10_7,0.6,0.391,0.474,0.8,0.435,0.563,0.781,0.543,0.641,0.444,0.522,0.48,0.49,0.522,0.505,0.786,0.478,0.595
SIR003_sl250_mr05_nv10_8,0.778,0.412,0.538,0.875,0.412,0.56,0.909,0.588,0.714,0.556,0.588,0.571,0.556,0.588,0.571,0.846,0.647,0.733
SIR003_sl250_mr05_nv10_9,0.6,0.333,0.429,0.5,0.111,0.182,0.5,0.222,0.308,0.364,0.444,0.4,0.429,0.333,0.375,0.6,0.333,0.429
sl250 AVG,0.6773,0.45865,0.5417,0.84865,0.4219,0.545,0.80765,0.55485,0.64785,0.5847,0.6248,0.60345,0.60355,0.57155,0.58485,0.7634,0.57705,0.6513
SIR003_sl500_mr05_nv10_1,0.8,0.571,0.667,0.8,0.571,0.667,0.833,0.714,0.769,0.857,0.857,0.857,0.714,0.714,0.714,0.833,0.714,0.769
SIR003_sl500_mr05_nv10_10,0.923,0.308,0.462,0.75,0.462,0.571,0.731,0.487,0.585,0.525,0.538,0.532,0.762,0.41,0.533,0.941,0.41,0.571
SIR003_sl500_mr05_nv10_11,1,0.167,0.286,1,0.333,0.5,1,0.333,0.5,0.833,0.833,0.833,0.833,0.833,0.833,0.8,0.667,0.727
SIR003_sl500_mr05_nv10_12,0.824,0.538,0.651,0.636,0.538,0.583,0.667,0.692,0.679,0.643,0.692,0.667,0.773,0.654,0.708,0.773,0.654,0.708
SIR003_sl500_mr05_nv10_13,0.931,0.562,0.701,0.825,0.688,0.75,0.81,0.708,0.756,0.708,0.708,0.708,0.879,0.604,0.716,0.842,0.667,0.744
SIR003_sl500_mr05_nv10_14,0.81,0.515,0.63,0.818,0.545,0.655,0.833,0.606,0.702,0.667,0.667,0.667,0.769,0.606,0.678,0.818,0.545,0.655
SIR003_sl500_mr05_nv10_15,1,0.737,0.848,0.929,0.684,0.788,0.929,0.684,0.788,0.842,0.842,0.842,0.889,0.842,0.865,1,0.684,0.813
SIR003_sl500_mr05_nv10_16,0.5,0.25,0.333,0.7,0.583,0.636,0.636,0.583,0.609,0.462,0.5,0.48,0.538,0.583,0.56,0.7,0.583,0.636
SIR003_sl500_mr05_nv10_17,0.833,0.5,0.625,0.875,0.7,0.778,0.875,0.7,0.778,0.636,0.7,0.667,0.778,0.7,0.737,0.8,0.8,0.8
SIR003_sl500_mr05_nv10_18,1,0.615,0.762,1,0.615,0.762,1,0.769,0.87,0.846,0.846,0.846,0.846,0.846,0.846,0.923,0.923,0.923
SIR003_sl500_mr05_nv10_19,0.756,0.517,0.614,0.86,0.717,0.782,0.843,0.717,0.775,0.633,0.633,0.633,0.654,0.567,0.607,0.894,0.7,0.785
SIR003_sl500_mr05_nv10_2,0.958,0.676,0.793,0.926,0.735,0.82,0.926,0.735,0.82,0.794,0.794,0.794,0.812,0.765,0.788,0.926,0.735,0.82
SIR003_sl500_mr05_nv10_20,1,0.375,0.545,0.667,0.5,0.571,0.667,0.5,0.571,0.625,0.625,0.625,0.667,0.5,0.571,0.625,0.625,0.625
SIR003_sl500_mr05_nv10_3,0.875,0.724,0.792,0.875,0.724,0.792,0.84,0.724,0.778,0.759,0.759,0.759,0.808,0.724,0.764,0.957,0.759,0.846
SIR003_sl500_mr05_nv10_4,0.933,0.538,0.683,0.882,0.577,0.698,0.882,0.577,0.698,0.667,0.692,0.679,0.789,0.577,0.667,0.882,0.577,0.698
SIR003_sl500_mr05_nv10_5,1,0.8,0.889,1,0.6,0.75,0.857,0.6,0.706,0.9,0.9,0.9,0.9,0.9,0.9,1,0.6,0.75
SIR003_sl500_mr05_nv10_6,0.909,0.476,0.625,0.867,0.619,0.722,0.875,0.667,0.757,0.762,0.762,0.762,0.824,0.667,0.737,0.833,0.476,0.606
SIR003_sl500_mr05_nv10_7,0.706,0.667,0.686,1,0.722,0.839,0.929,0.722,0.813,0.667,0.778,0.718,0.667,0.778,0.718,0.933,0.778,0.848
SIR003_sl500_mr05_nv10_8,0.778,0.467,0.583,0.875,0.467,0.609,0.8,0.533,0.64,0.6,0.6,0.6,0.8,0.8,0.8,1,0.733,0.846
SIR003_sl500_mr05_nv10_9,1,0.429,0.6,1,0.429,0.6,1,0.429,0.6,0.857,0.857,0.857,0.857,0.857,0.857,1,0.714,0.833
sl500 AVG,0.8768,0.5216,0.63875,0.86425,0.59045,0.69365,0.84665,0.624,0.7097,0.71415,0.72915,0.7213,0.77795,0.69635,0.72995,0.874,0.6672,0.75015
AVG,0.875228571,0.515471429,0.6382,0.834357143,0.5969,0.684121429,0.822914286,0.627614286,0.704514286,0.691564286,0.703078571,0.697035714,0.7641,0.65675,0.701785714,0.8542,0.65395,0.734264286
