dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SEIR01_sl1000_mr0125_nv10_2,0.941,0.615,0.744,0.929,1.0,0.963,0.923,0.923,0.923,0.923,0.923,0.923,1.0,0.692,0.818
SEIR01_sl500_mr025_nv10_2,0.8,0.5,0.615,0.75,0.75,0.75,0.5,0.5,0.5,0.571,0.5,0.533,0.833,0.625,0.714
SEIR01_sl1000_mr05_nv10_17,0.929,0.591,0.722,0.778,0.955,0.857,0.87,0.909,0.889,0.952,0.909,0.93,0.95,0.864,0.905
SEIR01_sl1000_mr025_nv20_8,0.75,0.6,0.667,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_1,0.917,0.688,0.786,0.939,0.969,0.954,0.882,0.938,0.909,0.909,0.938,0.923,1.0,0.906,0.951
SEIR01_sl1000_mr025_nv10_14,0.917,0.647,0.759,0.842,0.941,0.889,0.857,0.882,0.87,0.853,0.853,0.853,0.938,0.882,0.909
SEIR01_sl1000_mr0125_nv10_15,1.0,0.417,0.588,0.767,0.958,0.852,0.833,0.833,0.833,0.826,0.792,0.809,1.0,0.667,0.8
SEIR01_sl1000_mr05_nv10_7,0.842,0.696,0.762,0.709,0.848,0.772,0.787,0.804,0.796,0.804,0.804,0.804,0.946,0.761,0.843
SEIR01_sl1000_mr025_nv5_6,0.667,0.5,0.571,0.6,0.75,0.667,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
SEIR01_sl1000_mr05_nv10_16,0.95,0.864,0.905,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955
SEIR01_sl1000_mr025_nv10_16,1.0,0.571,0.727,0.932,0.976,0.953,0.837,0.857,0.847,0.971,0.786,0.868,1.0,0.81,0.895
SEIR01_sl1000_mr0125_nv10_13,0.9,0.9,0.9,1.0,0.9,0.947,0.818,0.9,0.857,0.818,0.9,0.857,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv10_15,0.75,0.6,0.667,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.778,0.7,0.737
SEIR01_sl250_mr025_nv10_8,0.676,0.735,0.704,0.844,0.794,0.818,0.605,0.765,0.675,0.619,0.765,0.684,1.0,0.618,0.764
SEIR01_sl250_mr025_nv10_1,0.649,0.533,0.585,0.649,0.822,0.725,0.561,0.711,0.627,0.635,0.733,0.68,0.933,0.622,0.747
SEIR01_sl1000_mr0125_nv10_3,0.846,0.579,0.688,0.902,0.974,0.937,0.842,0.842,0.842,0.889,0.842,0.865,0.968,0.789,0.87
SEIR01_sl1000_mr025_nv5_3,0.75,0.6,0.667,0.889,0.8,0.842,0.818,0.9,0.857,0.8,0.8,0.8,1.0,0.8,0.889
SEIR01_sl1000_mr0125_nv10_6,0.966,0.583,0.727,0.882,0.938,0.909,0.875,0.875,0.875,0.925,0.771,0.841,0.973,0.75,0.847
SEIR01_sl1000_mr0125_nv10_10,0.949,0.685,0.796,0.911,0.944,0.927,0.926,0.926,0.926,0.917,0.815,0.863,0.909,0.741,0.816
SEIR01_sl1000_mr025_nv5_10,1.0,0.273,0.429,0.652,0.909,0.759,0.824,0.848,0.836,0.885,0.697,0.78,1.0,0.485,0.653
SEIR01_sl1000_mr025_nv20_6,1.0,1.0,1.0,0.909,0.909,0.909,0.917,1.0,0.957,0.917,1.0,0.957,0.909,0.909,0.909
SEIR01_sl500_mr025_nv10_7,0.793,0.676,0.73,0.816,0.912,0.861,0.784,0.853,0.817,0.794,0.794,0.794,0.929,0.765,0.839
SEIR01_sl1000_mr025_nv20_11,0.75,0.6,0.667,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr05_nv10_18,0.913,0.75,0.824,0.9,0.964,0.931,0.86,0.875,0.867,0.873,0.857,0.865,0.98,0.875,0.925
SEIR01_sl1000_mr025_nv10_7,0.9,0.675,0.771,0.846,0.825,0.835,0.7,0.7,0.7,0.8,0.7,0.747,0.857,0.75,0.8
SEIR01_sl250_mr025_nv10_4,0.818,0.643,0.72,0.684,0.929,0.788,0.812,0.929,0.867,0.812,0.929,0.867,1.0,0.714,0.833
SEIR01_sl1000_mr0125_nv10_17,0.636,0.583,0.609,0.818,0.75,0.783,0.769,0.833,0.8,0.769,0.833,0.8,0.833,0.833,0.833
SEIR01_sl500_mr025_nv10_15,0.911,0.707,0.796,0.871,0.931,0.9,0.787,0.828,0.807,0.852,0.793,0.821,1.0,0.724,0.84
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl500_mr025_nv10_4,1.0,0.714,0.833,0.833,0.714,0.769,0.75,0.857,0.8,0.714,0.714,0.714,0.833,0.714,0.769
SEIR01_sl1000_mr05_nv10_12,0.932,0.707,0.804,0.743,0.897,0.812,0.847,0.862,0.855,0.94,0.81,0.87,0.952,0.69,0.8
SEIR01_sl1000_mr025_nv20_17,0.905,0.76,0.826,0.957,0.88,0.917,0.84,0.84,0.84,0.833,0.8,0.816,0.958,0.92,0.939
SEIR01_sl1000_mr025_nv5_15,0.786,0.407,0.537,0.759,0.815,0.786,0.714,0.741,0.727,0.75,0.667,0.706,0.818,0.667,0.735
SEIR01_sl500_mr025_nv10_1,0.625,0.5,0.556,0.818,0.9,0.857,0.455,0.5,0.476,0.455,0.5,0.476,0.857,0.6,0.706
SEIR01_sl1000_mr025_nv5_7,1.0,0.8,0.889,0.818,0.9,0.857,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.947
SEIR01_sl1000_mr05_nv10_19,1.0,0.429,0.6,0.6,0.857,0.706,0.5,0.571,0.533,0.667,0.571,0.615,1.0,0.286,0.444
SEIR01_sl500_mr025_nv10_20,0.824,0.438,0.571,0.732,0.938,0.822,0.719,0.719,0.719,0.815,0.688,0.746,0.909,0.625,0.741
SEIR01_sl1000_mr025_nv5_9,1.0,0.333,0.5,0.778,0.778,0.778,0.889,0.889,0.889,0.889,0.889,0.889,0.857,0.667,0.75
SEIR01_sl1000_mr025_nv10_8,0.947,0.667,0.783,0.815,0.815,0.815,0.815,0.815,0.815,0.88,0.815,0.846,0.88,0.815,0.846
SEIR01_sl500_mr025_nv10_16,0.9,0.6,0.72,0.684,0.867,0.765,0.75,0.8,0.774,0.75,0.8,0.774,0.909,0.667,0.769
SEIR01_sl1000_mr025_nv10_1,0.941,0.571,0.711,0.844,0.964,0.9,0.897,0.929,0.912,0.889,0.857,0.873,1.0,0.857,0.923
SEIR01_sl1000_mr0125_nv10_7,0.968,0.769,0.857,0.809,0.974,0.884,0.897,0.897,0.897,0.946,0.897,0.921,1.0,0.846,0.917
SEIR01_sl1000_mr025_nv5_2,0.625,0.312,0.417,0.929,0.812,0.867,0.588,0.625,0.606,0.769,0.625,0.69,0.917,0.688,0.786
SEIR01_sl1000_mr025_nv10_20,0.769,0.588,0.667,0.737,0.824,0.778,0.765,0.765,0.765,0.824,0.824,0.824,0.8,0.706,0.75
SEIR01_sl1000_mr05_nv10_6,0.846,0.55,0.667,0.884,0.95,0.916,0.85,0.85,0.85,0.889,0.8,0.842,0.938,0.75,0.833
SEIR01_sl250_mr025_nv10_19,0.875,0.583,0.7,0.733,0.917,0.815,0.714,0.833,0.769,0.714,0.833,0.769,0.857,0.5,0.632
SEIR01_sl500_mr025_nv10_18,0.75,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.667,0.667,0.667
SEIR01_sl500_mr025_nv10_14,1.0,0.833,0.909,0.625,0.833,0.714,0.714,0.833,0.769,0.714,0.833,0.769,1.0,0.5,0.667
SEIR01_sl1000_mr025_nv10_6,1.0,0.571,0.727,0.833,0.714,0.769,0.714,0.714,0.714,0.714,0.714,0.714,0.8,0.571,0.667
SEIR01_sl1000_mr025_nv20_3,0.833,0.714,0.769,0.833,0.952,0.889,0.864,0.905,0.884,0.864,0.905,0.884,0.944,0.81,0.872
SEIR01_sl1000_mr025_nv5_5,0.944,0.333,0.493,0.807,0.902,0.852,0.611,0.647,0.629,0.821,0.627,0.711,0.962,0.49,0.649
SEIR01_sl250_mr025_nv10_18,0.786,0.688,0.733,0.906,0.906,0.906,0.694,0.781,0.735,0.75,0.656,0.7,1.0,0.656,0.792
SEIR01_sl1000_mr025_nv20_15,0.882,0.652,0.75,0.957,0.957,0.957,0.913,0.913,0.913,0.955,0.913,0.933,0.955,0.913,0.933
SEIR01_sl1000_mr025_nv20_10,0.8,0.444,0.571,0.75,0.667,0.706,0.667,0.667,0.667,0.857,0.667,0.75,0.857,0.667,0.75
SEIR01_sl1000_mr05_nv10_15,0.917,0.688,0.786,0.857,0.75,0.8,0.875,0.875,0.875,0.867,0.812,0.839,0.938,0.938,0.938
SEIR01_sl1000_mr025_nv10_4,0.892,0.635,0.742,0.981,0.981,0.981,0.868,0.885,0.876,0.93,0.769,0.842,0.978,0.846,0.907
SEIR01_sl1000_mr025_nv20_16,0.571,0.571,0.571,0.875,1.0,0.933,0.556,0.714,0.625,0.556,0.714,0.625,1.0,0.571,0.727
SEIR01_sl250_mr025_nv10_7,0.733,0.786,0.759,0.923,0.857,0.889,0.706,0.857,0.774,0.706,0.857,0.774,0.909,0.714,0.8
SEIR01_sl500_mr025_nv10_8,0.812,0.812,0.812,0.824,0.875,0.848,0.737,0.875,0.8,0.737,0.875,0.8,0.933,0.875,0.903
SEIR01_sl1000_mr0125_nv10_16,0.667,0.286,0.4,0.857,0.857,0.857,0.714,0.714,0.714,0.714,0.714,0.714,0.667,0.286,0.4
SEIR01_sl1000_mr0125_nv10_1,0.846,0.611,0.71,0.81,0.944,0.872,0.684,0.722,0.703,0.765,0.722,0.743,1.0,0.778,0.875
SEIR01_sl250_mr025_nv10_6,0.526,0.455,0.488,0.692,0.818,0.75,0.5,0.636,0.56,0.577,0.682,0.625,0.8,0.364,0.5
SEIR01_sl250_mr025_nv10_3,0.654,0.63,0.642,0.75,0.889,0.814,0.667,0.815,0.733,0.667,0.815,0.733,0.941,0.593,0.727
SEIR01_sl1000_mr025_nv5_1,0.923,0.585,0.716,0.826,0.927,0.874,0.756,0.756,0.756,0.824,0.683,0.747,0.938,0.732,0.822
SEIR01_sl250_mr025_nv10_13,0.5,0.333,0.4,0.375,0.5,0.429,0.571,0.667,0.615,0.5,0.5,0.5,0.0,0.0,0
SEIR01_sl250_mr025_nv10_15,0.6,0.857,0.706,0.875,1.0,0.933,0.7,1.0,0.824,0.6,0.857,0.706,1.0,0.571,0.727
SEIR01_sl1000_mr0125_nv10_18,0.921,0.778,0.843,0.894,0.933,0.913,0.851,0.889,0.87,0.87,0.889,0.879,1.0,0.8,0.889
SEIR01_sl1000_mr025_nv20_9,1.0,0.917,0.957,1.0,1.0,1.0,0.917,0.917,0.917,1.0,0.917,0.957,1.0,0.917,0.957
SEIR01_sl250_mr025_nv10_12,0.778,0.651,0.709,0.82,0.953,0.882,0.792,0.884,0.835,0.825,0.767,0.795,1.0,0.651,0.789
SEIR01_sl1000_mr025_nv20_7,1.0,0.647,0.786,0.889,0.941,0.914,0.882,0.882,0.882,0.875,0.824,0.848,1.0,0.824,0.903
SEIR01_sl1000_mr025_nv10_12,1.0,0.625,0.769,0.75,0.75,0.75,0.75,0.75,0.75,0.714,0.625,0.667,0.833,0.625,0.714
SEIR01_sl1000_mr025_nv20_18,0.92,0.885,0.902,0.92,0.885,0.902,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885
SEIR01_sl1000_mr025_nv20_14,0.846,0.846,0.846,0.923,0.923,0.923,0.846,0.846,0.846,0.846,0.846,0.846,0.923,0.923,0.923
SEIR01_sl1000_mr025_nv20_5,0.931,0.818,0.871,0.939,0.939,0.939,0.848,0.848,0.848,0.848,0.848,0.848,0.964,0.818,0.885
SEIR01_sl1000_mr0125_nv10_5,0.974,0.809,0.884,0.92,0.979,0.948,0.857,0.894,0.875,0.891,0.872,0.882,1.0,0.872,0.932
SEIR01_sl1000_mr025_nv10_18,0.875,0.778,0.824,0.875,0.778,0.824,0.889,0.889,0.889,0.875,0.778,0.824,0.875,0.778,0.824
SEIR01_sl1000_mr0125_nv10_11,1.0,0.769,0.87,0.8,0.923,0.857,0.923,0.923,0.923,0.923,0.923,0.923,0.9,0.692,0.783
SEIR01_sl1000_mr05_nv10_1,0.857,0.462,0.6,0.909,0.769,0.833,0.692,0.692,0.692,0.818,0.692,0.75,0.909,0.769,0.833
SEIR01_sl1000_mr025_nv20_4,0.857,0.75,0.8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.714,0.625,0.667
SEIR01_sl1000_mr05_nv10_9,0.944,0.654,0.773,0.96,0.923,0.941,0.923,0.923,0.923,0.923,0.923,0.923,0.955,0.808,0.875
SEIR01_sl1000_mr025_nv5_16,0.909,0.556,0.69,0.941,0.889,0.914,0.944,0.944,0.944,0.944,0.944,0.944,1.0,0.889,0.941
SEIR01_sl1000_mr05_nv10_8,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_5,0.875,0.778,0.824,0.842,0.889,0.865,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl250_mr025_nv10_14,0.59,0.5,0.541,0.66,0.761,0.707,0.451,0.5,0.474,0.561,0.5,0.529,0.862,0.543,0.667
SEIR01_sl1000_mr025_nv10_5,0.943,0.75,0.835,0.827,0.977,0.896,0.844,0.864,0.854,0.9,0.818,0.857,0.969,0.705,0.816
SEIR01_sl1000_mr025_nv5_11,0.818,0.474,0.6,0.833,0.789,0.811,0.75,0.789,0.769,0.8,0.632,0.706,1.0,0.579,0.733
SEIR01_sl1000_mr05_nv10_3,0.882,0.6,0.714,0.655,0.76,0.704,0.84,0.84,0.84,0.909,0.8,0.851,0.895,0.68,0.773
SEIR01_sl500_mr025_nv10_11,0.786,0.647,0.71,0.778,0.824,0.8,0.737,0.824,0.778,0.737,0.824,0.778,0.933,0.824,0.875
SEIR01_sl1000_mr0125_nv10_20,0.913,0.84,0.875,0.958,0.92,0.939,0.846,0.88,0.863,0.957,0.88,0.917,0.958,0.92,0.939
SEIR01_sl1000_mr025_nv5_17,0.8,0.364,0.5,0.889,0.727,0.8,0.818,0.818,0.818,0.818,0.818,0.818,0.909,0.909,0.909
SEIR01_sl500_mr025_nv10_17,0.667,0.333,0.444,0.667,1.0,0.8,0.286,0.333,0.308,0.333,0.333,0.333,0.667,0.333,0.444
SEIR01_sl1000_mr025_nv10_3,0.917,0.673,0.776,0.917,0.898,0.907,0.82,0.837,0.828,0.83,0.796,0.812,0.953,0.837,0.891
SEIR01_sl1000_mr05_nv10_4,0.778,0.636,0.7,0.643,0.818,0.72,0.667,0.727,0.696,0.667,0.727,0.696,1.0,0.727,0.842
SEIR01_sl1000_mr025_nv5_4,0.897,0.52,0.658,0.764,0.84,0.8,0.76,0.76,0.76,0.833,0.7,0.761,0.912,0.62,0.738
SEIR01_sl1000_mr025_nv5_19,0.976,0.69,0.808,0.891,0.983,0.934,0.931,0.931,0.931,0.946,0.914,0.93,0.98,0.845,0.907
SEIR01_sl500_mr025_nv10_13,0.833,0.5,0.625,0.85,0.85,0.85,0.636,0.7,0.667,0.7,0.7,0.7,1.0,0.65,0.788
SEIR01_sl1000_mr0125_nv10_19,0.952,0.667,0.784,0.9,0.9,0.9,0.833,0.833,0.833,0.893,0.833,0.862,1.0,0.767,0.868
SEIR01_sl1000_mr025_nv20_19,0.941,0.906,0.923,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.942,0.925,0.933
SEIR01_sl250_mr025_nv10_10,0.688,0.647,0.667,0.609,0.824,0.7,0.737,0.824,0.778,0.737,0.824,0.778,0.889,0.471,0.615
SEIR01_sl1000_mr025_nv20_2,0.933,0.667,0.778,0.907,0.929,0.918,0.884,0.905,0.894,0.905,0.905,0.905,0.923,0.857,0.889
SEIR01_sl1000_mr025_nv10_2,0.889,0.727,0.8,0.913,0.955,0.933,0.833,0.909,0.87,0.875,0.955,0.913,0.905,0.864,0.884
SEIR01_sl1000_mr025_nv10_10,0.7,0.778,0.737,0.8,0.889,0.842,0.778,0.778,0.778,0.778,0.778,0.778,0.875,0.778,0.824
SEIR01_sl1000_mr05_nv10_2,0.875,0.875,0.875,0.875,0.875,0.875,0.889,1.0,0.941,0.889,1.0,0.941,0.875,0.875,0.875
SEIR01_sl1000_mr025_nv5_12,0.75,0.316,0.444,0.778,0.737,0.757,0.789,0.789,0.789,0.75,0.632,0.686,0.846,0.579,0.688
SEIR01_sl500_mr025_nv10_12,0.927,0.745,0.826,0.855,0.922,0.887,0.923,0.941,0.932,0.935,0.843,0.887,0.977,0.843,0.905
SEIR01_sl250_mr025_nv10_11,0.667,0.5,0.571,0.722,0.812,0.765,0.65,0.812,0.722,0.765,0.812,0.788,0.909,0.625,0.741
SEIR01_sl1000_mr025_nv20_12,0.933,0.778,0.848,0.944,0.944,0.944,0.889,0.889,0.889,0.941,0.889,0.914,1.0,0.833,0.909
SEIR01_sl1000_mr05_nv10_11,0.815,0.688,0.746,0.909,0.938,0.923,0.714,0.781,0.746,0.758,0.781,0.769,0.929,0.812,0.867
