dataset,phylo_tp,phylo_fp,phylo_fn,phylo_multi_tp,phylo_multi_fp,phylo_multi_fn,phylo_complex_tp,phylo_complex_fp,phylo_complex_fn,tnet_tp,tnet_fp,tnet_fn,tnet_mul_tp,tnet_mul_fp,tnet_mul_fn,tnet_boot_tp,tnet_boot_fp,tnet_boot_fn
SIR003_sl500_mr05_nv10_17,5,1,5,7,1,3,7,1,3,7,4,3,7,2,3,8,2,2
SIR003_sl500_mr05_nv10_18,8,0,5,8,0,5,10,0,3,11,2,2,11,2,2,12,1,1
SIR003_sl500_mr05_nv10_19,31,10,29,43,7,17,43,8,17,38,22,22,34,18,26,42,5,18
SIR003_sl500_mr05_nv10_2,23,1,11,25,2,9,25,2,9,27,7,7,26,6,8,25,2,9
SIR003_sl500_mr05_nv10_20,3,0,5,4,2,4,4,2,4,5,3,3,4,2,4,5,3,3
SIR003_sl500_mr05_nv10_3,21,3,8,21,3,8,21,4,8,22,7,7,21,5,8,22,1,7
SIR003_sl500_mr05_nv10_4,14,1,12,15,2,11,15,2,11,18,9,8,15,4,11,15,2,11
SIR003_sl500_mr05_nv10_5,8,0,2,6,0,4,6,1,4,9,1,1,9,1,1,6,0,4
SIR003_sl500_mr05_nv10_6,10,1,11,13,2,8,14,2,7,16,5,5,14,3,7,10,2,11
SIR003_sl500_mr05_nv10_7,12,5,6,13,0,5,13,1,5,14,7,4,14,7,4,14,1,4
SIR003_sl500_mr05_nv10_8,7,2,8,7,1,8,8,2,7,9,6,6,12,3,3,11,0,4
SIR003_sl500_mr05_nv10_9,3,0,4,3,0,4,3,0,4,6,1,1,6,1,1,5,0,2
SIR01_sl1000_mr075_nv10_1,32,1,25,39,6,18,40,6,17,47,10,10,45,7,12,43,4,14
SIR01_sl1000_mr075_nv10_10,4,0,4,7,0,1,7,0,1,6,2,2,5,1,3,8,0,0
SIR01_sl1000_mr075_nv10_11,5,0,2,5,0,2,5,0,2,7,0,0,7,0,0,6,0,1
SIR01_sl1000_mr075_nv10_12,19,1,11,18,0,12,18,0,12,25,5,5,25,2,5,25,1,5
SIR01_sl1000_mr075_nv10_13,4,0,10,6,4,8,6,4,8,9,5,5,7,2,7,6,0,8
SIR01_sl1000_mr075_nv10_14,4,0,3,4,1,3,4,1,3,4,3,3,4,3,3,5,1,2
SIR01_sl1000_mr075_nv10_15,4,0,2,3,0,3,3,0,3,5,1,1,5,1,1,4,0,2
SIR01_sl1000_mr075_nv10_16,10,1,8,10,3,8,10,5,8,16,3,2,16,3,2,14,4,4
SIR01_sl1000_mr075_nv10_17,32,2,39,39,11,32,39,12,32,52,20,19,41,10,30,37,2,34
SIR01_sl1000_mr075_nv10_18,9,0,2,9,1,2,9,1,2,10,1,1,9,2,2,9,1,2
SIR01_sl1000_mr075_nv10_19,3,0,8,3,4,8,3,4,8,4,7,7,4,1,7,2,1,9
SIR01_sl1000_mr075_nv10_2,6,0,5,5,0,6,5,0,6,6,5,5,6,1,5,7,1,4
SIR01_sl1000_mr075_nv10_20,15,1,15,18,10,12,18,10,12,18,14,12,19,7,11,20,5,10
SIR01_sl1000_mr075_nv10_3,4,0,7,6,5,5,6,5,5,6,5,5,5,3,6,5,1,6
SIR01_sl1000_mr075_nv10_4,18,2,20,26,3,12,26,3,12,31,8,7,29,8,9,34,3,4
SIR01_sl1000_mr075_nv10_5,38,2,26,50,6,14,50,6,14,48,18,16,46,4,18,48,4,16
SIR01_sl1000_mr075_nv10_6,2,0,6,2,1,6,2,1,6,6,2,2,6,2,2,6,2,2
SIR01_sl1000_mr075_nv10_7,15,0,9,22,1,2,22,1,2,20,4,4,20,3,4,22,1,2
SIR01_sl1000_mr075_nv10_8,7,0,9,10,1,6,10,1,6,10,6,6,9,2,7,10,1,6
SIR01_sl1000_mr075_nv10_9,14,0,13,15,5,12,15,6,12,18,9,9,17,3,10,16,3,11
