dataset,without_complex_tp,without_complex_fp,without_complex_fn,with_complex_tp,with_complex_fp,with_complex_fn
SIR01_sl1000_mr075_nv10_16,10,3,8,10,5,8
SIR01_sl1000_mr075_nv10_17,39,11,32,39,12,32
SIR01_sl1000_mr075_nv10_18,9,1,2,9,1,2
SIR01_sl1000_mr075_nv10_19,3,4,8,3,4,8
SIR01_sl1000_mr075_nv10_2,5,0,6,5,0,6
SIR01_sl1000_mr075_nv10_20,18,10,12,18,10,12
SIR01_sl1000_mr075_nv10_3,6,5,5,6,5,5
SIR01_sl1000_mr075_nv10_4,26,3,12,26,3,12
SIR01_sl1000_mr075_nv10_5,50,6,14,50,6,14
SIR01_sl1000_mr075_nv10_6,2,1,6,2,1,6
SIR01_sl1000_mr075_nv10_7,22,1,2,22,1,2
SIR01_sl1000_mr075_nv10_8,10,1,6,10,1,6
SIR01_sl1000_mr075_nv10_9,15,5,12,15,6,12
SIR01_sl1000_mr15_nv10_10,17,5,15,18,5,14
SIR01_sl1000_mr15_nv10_11,6,0,6,6,0,6
SIR01_sl1000_mr15_nv10_12,13,4,11,13,4,11
SIR01_sl1000_mr15_nv10_14,8,0,0,8,0,0
SIR01_sl1000_mr15_nv10_15,21,10,17,23,10,15
SIR01_sl1000_mr15_nv10_16,4,0,3,6,0,1
SIR01_sl1000_mr15_nv10_17,16,0,4,16,0,4
SIR01_sl1000_mr15_nv10_18,46,13,23,46,13,23
SIR01_sl1000_mr15_nv10_19,6,0,3,6,0,3
SIR01_sl1000_mr15_nv10_20,7,1,2,7,2,2
SIR01_sl1000_mr15_nv10_3,47,4,12,47,4,12
SIR01_sl1000_mr15_nv10_5,7,0,3,7,0,3
SIR01_sl1000_mr15_nv10_6,5,0,2,5,0,2
SIR01_sl1000_mr15_nv10_7,34,3,16,34,4,16
SIR01_sl1000_mr15_nv10_8,3,1,7,3,1,7
SIR01_sl1000_mr15_nv10_9,12,3,9,12,3,9
SIR01_sl1000_mr15_nv20_1,25,4,7,25,4,7
SIR01_sl1000_mr15_nv20_10,8,2,5,8,2,5
SIR01_sl1000_mr15_nv20_11,47,6,12,48,7,11
SIR01_sl1000_mr15_nv20_12,7,1,8,8,1,7
SIR01_sl1000_mr15_nv20_13,4,0,2,4,0,2
SIR01_sl1000_mr15_nv20_14,2,2,3,2,2,3
SIR01_sl1000_mr15_nv20_15,7,1,7,7,1,7
SIR01_sl1000_mr15_nv20_16,14,1,7,15,1,6
SIR01_sl1000_mr15_nv20_17,9,1,5,9,1,5
SIR01_sl1000_mr15_nv20_18,23,1,7,24,1,6
SIR01_sl1000_mr15_nv20_19,40,1,11,40,1,11
SIR01_sl1000_mr15_nv20_2,4,0,6,4,0,6
SIR01_sl1000_mr15_nv20_20,11,1,3,11,1,3
SIR01_sl1000_mr15_nv20_3,2,0,3,2,0,3
SIR01_sl1000_mr15_nv20_4,50,11,19,51,11,18
SIR01_sl1000_mr15_nv20_5,6,2,4,6,2,4
SIR01_sl1000_mr15_nv20_6,6,0,2,6,0,2
SIR01_sl1000_mr15_nv20_7,21,0,7,21,0,7
SIR01_sl1000_mr15_nv20_8,38,1,10,38,1,10
SIR01_sl1000_mr15_nv20_9,19,3,7,19,3,7
SIR01_sl1000_mr15_nv5_1,15,5,13,16,5,12
SIR01_sl1000_mr15_nv5_10,8,0,3,8,0,3
SIR01_sl1000_mr15_nv5_11,3,1,6,3,1,6
SIR01_sl1000_mr15_nv5_12,10,7,13,11,8,12
SIR01_sl1000_mr15_nv5_13,9,2,7,10,2,6
SIR01_sl1000_mr15_nv5_14,15,3,7,15,3,7
SIR01_sl1000_mr15_nv5_15,33,7,12,33,7,12
SIR01_sl1000_mr15_nv5_16,2,0,7,2,1,7
SIR01_sl1000_mr15_nv5_17,4,0,4,5,0,3
SIR01_sl1000_mr15_nv5_18,5,2,4,5,2,4
SIR01_sl1000_mr15_nv5_19,13,4,8,13,4,8
SIR01_sl1000_mr15_nv5_2,22,6,13,23,6,12
SIR01_sl1000_mr15_nv5_20,11,2,6,11,2,6
SIR01_sl1000_mr15_nv5_3,3,2,6,3,2,6
SIR01_sl1000_mr15_nv5_4,13,2,12,13,2,12
SIR01_sl1000_mr15_nv5_5,4,3,7,4,3,7
SIR01_sl1000_mr15_nv5_6,11,2,12,11,2,12
SIR01_sl1000_mr15_nv5_7,3,0,5,3,1,5
SIR01_sl1000_mr15_nv5_8,2,3,6,2,3,6
SIR01_sl1000_mr15_nv5_9,28,7,19,28,7,19
SIR01_sl1000_mr3_nv10_1,21,7,9,21,7,9
SIR01_sl1000_mr3_nv10_10,7,1,2,7,1,2
SIR01_sl1000_mr3_nv10_11,37,6,20,38,6,19
SIR01_sl1000_mr3_nv10_12,23,3,11,24,3,10
SIR01_sl1000_mr3_nv10_13,25,4,11,25,4,11
SIR01_sl1000_mr3_nv10_14,23,0,5,24,0,4
SIR01_sl1000_mr3_nv10_15,4,0,5,4,0,5
SIR01_sl1000_mr3_nv10_16,24,2,8,25,2,7
SIR01_sl1000_mr3_nv10_17,6,1,4,6,1,4
SIR01_sl1000_mr3_nv10_18,18,2,6,18,2,6
SIR01_sl1000_mr3_nv10_19,13,12,17,13,12,17
SIR01_sl1000_mr3_nv10_2,7,2,2,7,2,2
SIR01_sl1000_mr3_nv10_20,8,3,4,8,3,4
SIR01_sl1000_mr3_nv10_3,16,3,4,16,4,4
SIR01_sl1000_mr3_nv10_4,5,0,7,5,0,7
SIR01_sl1000_mr3_nv10_5,18,5,10,19,5,9
SIR01_sl1000_mr3_nv10_6,27,19,27,29,21,25
SIR01_sl1000_mr3_nv10_7,13,5,10,13,5,10
SIR01_sl1000_mr3_nv10_8,6,0,4,6,0,4
SIR01_sl1000_mr3_nv10_9,18,2,11,18,2,11
SIR01_sl250_mr15_nv10_1,7,0,10,9,1,8
SIR01_sl250_mr15_nv10_10,24,2,32,34,7,22
SIR01_sl250_mr15_nv10_11,11,1,13,14,2,10
SIR01_sl250_mr15_nv10_12,12,2,7,12,3,7
SIR01_sl250_mr15_nv10_13,7,0,6,9,3,4
SIR01_sl250_mr15_nv10_14,6,1,9,8,2,7
SIR01_sl250_mr15_nv10_15,2,0,6,4,0,4
SIR01_sl250_mr15_nv10_16,13,0,10,15,2,8
SIR01_sl250_mr15_nv10_17,3,0,4,5,0,2
SIR01_sl250_mr15_nv10_18,7,3,13,10,4,10
SIR01_sl250_mr15_nv10_19,4,0,3,5,0,2
SIR01_sl250_mr15_nv10_2,4,0,5,5,1,4
SIR01_sl250_mr15_nv10_20,2,0,5,4,0,3
SIR01_sl250_mr15_nv10_3,5,0,9,6,2,8
SIR01_sl250_mr15_nv10_4,4,2,8,4,2,8
SIR01_sl250_mr15_nv10_5,5,0,4,6,0,3
SIR01_sl250_mr15_nv10_6,13,1,30,20,6,23
SIR01_sl250_mr15_nv10_7,14,3,27,20,5,21
SIR01_sl250_mr15_nv10_8,4,1,5,4,1,5
SIR01_sl250_mr15_nv10_9,3,0,7,4,1,6
SIR01_sl500_mr15_nv10_1,2,0,3,3,0,2
SIR01_sl500_mr15_nv10_10,6,2,7,6,3,7
SIR01_sl500_mr15_nv10_11,11,0,6,11,0,6
SIR01_sl500_mr15_nv10_12,1,0,5,1,0,5
SIR01_sl500_mr15_nv10_13,4,1,3,4,1,3
SIR01_sl500_mr15_nv10_14,22,6,17,23,7,16
SIR01_sl500_mr15_nv10_15,17,4,13,19,5,11
SIR01_sl500_mr15_nv10_16,7,0,3,7,1,3
SIR01_sl500_mr15_nv10_17,8,0,5,9,3,4
SIR01_sl500_mr15_nv10_18,14,3,11,14,3,11
SIR01_sl500_mr15_nv10_19,18,2,9,18,2,9
SIR01_sl500_mr15_nv10_2,14,1,7,16,1,5
SIR01_sl500_mr15_nv10_20,16,0,9,17,0,8
SIR01_sl500_mr15_nv10_3,14,2,5,15,2,4
SIR01_sl500_mr15_nv10_4,31,7,18,33,7,16
SIR01_sl500_mr15_nv10_5,34,3,18,41,3,11
SIR01_sl500_mr15_nv10_6,19,0,10,22,0,7
SIR01_sl500_mr15_nv10_7,4,0,3,4,0,3
SIR01_sl500_mr15_nv10_8,4,0,4,4,0,4
SIR01_sl500_mr15_nv10_9,39,3,18,42,3,15
