dataset,phy_tp,phy_fp,phy_fn,tnet_tp,tnet_fp,tnet_fn,tnet_50_tp,tnet_50_fp,tnet_50_fn,tnet_80_tp,tnet_80_fp,tnet_80_fn,tnet_100_tp,tnet_100_fp,tnet_100_fn
SIR003_sl1000_mr1_nv10_16,10,3,10,11,10,9,10,7,10,10,3,10,10,3,10
SIR003_sl1000_mr1_nv10_17,17,2,15,24,8,8,24,8,8,24,8,8,23,7,9
SIR003_sl1000_mr1_nv10_18,15,0,18,24,9,9,24,7,9,24,5,9,24,1,9
SIR003_sl1000_mr1_nv10_19,31,0,33,42,22,22,40,23,24,37,11,27,37,9,27
SIR003_sl1000_mr1_nv10_2,27,5,36,44,20,19,43,18,20,40,13,23,38,12,25
SIR003_sl1000_mr1_nv10_20,36,2,33,45,24,24,47,22,22,44,12,25,44,12,25
SIR003_sl1000_mr1_nv10_3,14,1,9,17,6,6,18,5,5,16,4,7,16,4,7
SIR003_sl1000_mr1_nv10_4,18,0,11,21,8,8,22,6,7,20,5,9,20,5,9
SIR003_sl1000_mr1_nv10_5,5,0,4,5,4,4,5,1,4,5,0,4,5,0,4
SIR003_sl1000_mr1_nv10_6,17,0,13,22,8,8,22,6,8,19,1,11,19,1,11
SIR003_sl1000_mr1_nv10_7,5,0,3,5,3,3,6,2,2,5,1,3,5,1,3
SIR003_sl1000_mr1_nv10_8,21,1,14,25,10,10,25,8,10,25,2,10,25,2,10
SIR003_sl1000_mr1_nv10_9,6,0,3,8,1,1,6,3,3,6,3,3,6,0,3
SIR003_sl250_mr05_nv10_1,17,8,15,20,16,12,20,16,12,19,15,13,17,12,15
SIR003_sl250_mr05_nv10_10,9,4,10,11,10,8,11,10,8,11,9,8,11,9,8
SIR003_sl250_mr05_nv10_11,3,4,9,7,8,5,5,7,7,3,4,9,3,4,9
SIR003_sl250_mr05_nv10_12,6,2,7,8,6,5,7,6,6,7,5,6,7,4,6
SIR003_sl250_mr05_nv10_13,0,2,7,1,7,6,2,6,5,1,4,6,1,4,6
SIR003_sl250_mr05_nv10_14,4,1,4,6,2,2,6,2,2,6,2,2,6,2,2
SIR003_sl250_mr05_nv10_15,4,0,4,7,1,1,7,1,1,7,1,1,7,1,1
SIR003_sl250_mr05_nv10_16,5,2,6,6,6,5,7,5,4,6,4,5,6,4,5
SIR003_sl250_mr05_nv10_17,25,10,20,30,18,15,28,20,17,27,15,18,27,12,18
SIR003_sl250_mr05_nv10_18,13,4,14,17,10,10,17,8,10,17,6,10,15,6,12
SIR003_sl250_mr05_nv10_19,6,6,19,10,20,15,8,22,17,7,18,18,7,17,18
SIR003_sl250_mr05_nv10_2,10,6,4,10,4,4,10,4,4,9,3,5,9,3,5
SIR003_sl250_mr05_nv10_20,16,10,25,26,20,15,27,19,14,23,16,18,22,15,19
SIR003_sl250_mr05_nv10_3,14,2,8,18,4,4,18,4,4,17,3,5,16,3,6
SIR003_sl250_mr05_nv10_4,8,1,4,10,3,2,10,3,2,10,3,2,10,3,2
SIR003_sl250_mr05_nv10_5,14,5,8,17,5,5,16,7,6,16,7,6,16,4,6
SIR003_sl250_mr05_nv10_6,18,5,15,25,9,8,23,10,10,22,8,11,22,4,11
SIR003_sl250_mr05_nv10_7,18,12,28,24,30,22,24,29,22,24,25,22,24,24,22
SIR003_sl250_mr05_nv10_8,7,2,10,10,8,7,10,8,7,10,8,7,10,7,7
SIR003_sl250_mr05_nv10_9,3,2,6,4,7,5,3,8,6,3,4,6,3,3,6
SIR003_sl500_mr05_nv10_1,4,1,3,6,1,1,5,2,2,5,2,2,5,1,2
SIR003_sl500_mr05_nv10_10,12,1,27,21,19,18,24,14,15,16,5,23,14,3,25
SIR003_sl500_mr05_nv10_11,1,0,5,5,1,1,5,1,1,5,1,1,5,1,1
SIR003_sl500_mr05_nv10_12,14,3,12,18,10,8,17,9,9,17,5,9,16,5,10
SIR003_sl500_mr05_nv10_13,27,2,21,34,14,14,33,11,15,29,4,19,29,4,19
SIR003_sl500_mr05_nv10_14,17,4,16,22,11,11,21,9,12,20,6,13,20,5,13
SIR003_sl500_mr05_nv10_15,14,0,5,16,3,3,16,3,3,16,2,3,16,2,3
SIR003_sl500_mr05_nv10_16,3,3,9,6,7,6,7,7,5,7,6,5,5,5,7
SIR003_sl500_mr05_nv10_17,5,1,5,7,4,3,7,4,3,7,2,3,7,2,3
SIR003_sl500_mr05_nv10_18,8,0,5,11,2,2,11,2,2,11,2,2,11,2,2
SIR003_sl500_mr05_nv10_19,31,10,29,38,22,22,35,22,25,34,18,26,33,17,27
SIR003_sl500_mr05_nv10_2,23,1,11,27,7,7,26,8,8,26,6,8,26,6,8
SIR003_sl500_mr05_nv10_20,3,0,5,5,3,3,4,4,4,4,2,4,4,2,4
SIR003_sl500_mr05_nv10_3,21,3,8,22,7,7,22,7,7,21,5,8,21,5,8
SIR003_sl500_mr05_nv10_4,14,1,12,18,9,8,18,7,8,15,4,11,15,4,11
SIR003_sl500_mr05_nv10_5,8,0,2,9,1,1,9,1,1,9,1,1,9,1,1
SIR003_sl500_mr05_nv10_6,10,1,11,16,5,5,16,5,5,14,3,7,14,2,7
SIR003_sl500_mr05_nv10_7,12,5,6,14,7,4,14,7,4,14,7,4,14,7,4
SIR003_sl500_mr05_nv10_8,7,2,8,9,6,6,12,3,3,12,3,3,11,3,4
SIR003_sl500_mr05_nv10_9,3,0,4,6,1,1,6,1,1,6,1,1,6,1,1
SIR01_sl1000_mr075_nv10_1,32,1,25,47,10,10,49,8,8,45,7,12,45,6,12
SIR01_sl1000_mr075_nv10_10,4,0,4,6,2,2,6,2,2,5,1,3,5,1,3
SIR01_sl1000_mr075_nv10_11,5,0,2,7,0,0,7,0,0,7,0,0,7,0,0
SIR01_sl1000_mr075_nv10_12,19,1,11,25,5,5,25,3,5,25,2,5,25,2,5
SIR01_sl1000_mr075_nv10_13,4,0,10,9,5,5,9,5,5,7,2,7,7,2,7
SIR01_sl1000_mr075_nv10_14,4,0,3,4,3,3,4,3,3,4,3,3,4,3,3
SIR01_sl1000_mr075_nv10_15,4,0,2,5,1,1,5,1,1,5,1,1,5,1,1
SIR01_sl1000_mr075_nv10_16,10,1,8,16,3,2,16,3,2,16,3,2,16,1,2
SIR01_sl1000_mr075_nv10_17,32,2,39,52,20,19,47,18,24,41,10,30,40,9,31
SIR01_sl1000_mr075_nv10_18,9,0,2,10,1,1,9,2,2,9,2,2,9,1,2
SIR01_sl1000_mr075_nv10_19,3,0,8,4,7,7,5,4,6,4,1,7,4,1,7
SIR01_sl1000_mr075_nv10_2,6,0,5,6,5,5,6,3,5,6,1,5,6,1,5
SIR01_sl1000_mr075_nv10_20,15,1,15,18,14,12,19,9,11,19,7,11,18,5,12
SIR01_sl1000_mr075_nv10_3,4,0,7,6,5,5,5,4,6,5,3,6,5,3,6
SIR01_sl1000_mr075_nv10_4,18,2,20,31,8,7,31,8,7,29,8,9,27,8,11
SIR01_sl1000_mr075_nv10_5,38,2,26,48,18,16,48,12,16,46,4,18,46,2,18
SIR01_sl1000_mr075_nv10_6,2,0,6,6,2,2,6,2,2,6,2,2,6,2,2
SIR01_sl1000_mr075_nv10_7,15,0,9,20,4,4,20,4,4,20,3,4,19,1,5
SIR01_sl1000_mr075_nv10_8,7,0,9,10,6,6,10,3,6,9,2,7,9,2,7
SIR01_sl1000_mr075_nv10_9,14,0,13,18,9,9,17,7,10,17,3,10,17,3,10
SIR01_sl1000_mr15_nv10_10,18,2,14,24,8,8,24,8,8,21,4,11,21,3,11
SIR01_sl1000_mr15_nv10_11,6,0,6,8,4,4,7,2,5,7,1,5,7,1,5
SIR01_sl1000_mr15_nv10_12,9,0,15,17,7,7,18,6,6,16,3,8,15,3,9
SIR01_sl1000_mr15_nv10_14,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0
SIR01_sl1000_mr15_nv10_15,9,2,29,21,18,17,18,18,20,17,8,21,17,8,21
SIR01_sl1000_mr15_nv10_16,4,0,3,6,1,1,6,1,1,6,1,1,6,1,1
SIR01_sl1000_mr15_nv10_17,11,0,9,18,2,2,17,3,3,16,1,4,15,0,5
SIR01_sl1000_mr15_nv10_18,39,0,30,48,23,21,51,20,18,44,8,25,44,5,25
SIR01_sl1000_mr15_nv10_19,6,0,3,8,1,1,8,1,1,8,1,1,8,1,1
SIR01_sl1000_mr15_nv10_20,6,3,3,7,2,2,7,2,2,7,2,2,7,2,2
SIR01_sl1000_mr15_nv10_3,40,3,19,45,16,14,47,9,12,45,6,14,44,5,15
SIR01_sl1000_mr15_nv10_5,6,0,4,9,1,1,9,1,1,8,0,2,8,0,2
SIR01_sl1000_mr15_nv10_6,2,1,5,7,0,0,7,0,0,7,0,0,7,0,0
SIR01_sl1000_mr15_nv10_7,27,1,23,34,16,16,36,9,14,32,6,18,32,6,18
SIR01_sl1000_mr15_nv10_8,6,0,4,7,3,3,8,2,2,6,0,4,6,0,4
SIR01_sl1000_mr15_nv10_9,6,0,15,15,6,6,14,7,7,14,7,7,14,5,7
SIR01_sl1000_mr15_nv20_1,16,2,16,23,9,9,23,7,9,22,2,10,20,2,12
SIR01_sl1000_mr15_nv20_10,8,0,5,10,3,3,10,3,3,10,3,3,9,2,4
SIR01_sl1000_mr15_nv20_11,44,3,15,49,11,10,50,10,9,48,7,11,47,7,12
SIR01_sl1000_mr15_nv20_12,7,0,8,9,6,6,9,5,6,9,1,6,8,1,7
SIR01_sl1000_mr15_nv20_13,4,0,2,5,1,1,5,1,1,5,1,1,5,1,1
SIR01_sl1000_mr15_nv20_14,2,2,3,2,3,3,2,3,3,2,3,3,2,3,3
SIR01_sl1000_mr15_nv20_15,4,2,10,6,8,8,6,8,8,5,6,9,5,6,9
SIR01_sl1000_mr15_nv20_16,17,0,4,19,2,2,18,2,3,18,1,3,18,1,3
SIR01_sl1000_mr15_nv20_17,8,0,6,10,4,4,10,4,4,10,4,4,10,4,4
SIR01_sl1000_mr15_nv20_18,25,0,5,28,2,2,27,3,3,26,1,4,26,1,4
SIR01_sl1000_mr15_nv20_19,39,2,12,43,8,8,45,2,6,43,2,8,43,2,8
SIR01_sl1000_mr15_nv20_2,4,0,6,6,4,4,4,1,6,4,1,6,4,1,6
SIR01_sl1000_mr15_nv20_20,9,0,5,11,3,3,11,3,3,11,3,3,11,3,3
SIR01_sl1000_mr15_nv20_3,2,0,3,4,1,1,4,1,1,2,0,3,2,0,3
SIR01_sl1000_mr15_nv20_4,36,1,33,52,17,17,51,15,18,50,8,19,49,7,20
SIR01_sl1000_mr15_nv20_5,5,0,5,7,3,3,7,3,3,7,3,3,7,3,3
SIR01_sl1000_mr15_nv20_6,5,0,3,7,1,1,7,2,1,7,1,1,7,1,1
SIR01_sl1000_mr15_nv20_7,17,0,11,22,6,6,23,5,5,21,5,7,21,5,7
SIR01_sl1000_mr15_nv20_8,33,1,15,37,11,11,37,6,11,36,4,12,36,4,12
SIR01_sl1000_mr15_nv20_9,16,1,10,18,9,8,19,4,7,17,2,9,17,2,9
SIR01_sl1000_mr15_nv5_1,13,1,15,17,11,11,19,7,9,17,5,11,17,5,11
SIR01_sl1000_mr15_nv5_10,8,0,3,8,3,3,8,3,3,8,0,3,8,0,3
SIR01_sl1000_mr15_nv5_11,2,0,7,6,3,3,6,3,3,5,2,4,5,2,4
SIR01_sl1000_mr15_nv5_12,12,2,11,11,12,12,12,7,11,11,7,12,11,6,12
SIR01_sl1000_mr15_nv5_13,9,2,7,13,3,3,13,3,3,13,3,3,13,3,3
SIR01_sl1000_mr15_nv5_14,10,2,12,16,7,6,16,6,6,12,4,10,11,2,11
SIR01_sl1000_mr15_nv5_15,24,1,21,32,13,13,34,10,11,29,10,16,29,7,16
SIR01_sl1000_mr15_nv5_16,4,3,5,4,5,5,4,5,5,3,1,6,3,1,6
SIR01_sl1000_mr15_nv5_17,5,0,3,7,1,1,7,1,1,7,1,1,7,1,1
SIR01_sl1000_mr15_nv5_18,4,0,5,6,3,3,6,3,3,6,0,3,6,0,3
SIR01_sl1000_mr15_nv5_19,7,0,14,14,7,7,12,8,9,11,6,10,11,6,10
SIR01_sl1000_mr15_nv5_2,13,2,22,23,12,12,21,14,14,20,7,15,19,7,16
SIR01_sl1000_mr15_nv5_20,6,1,11,12,5,5,12,5,5,10,2,7,10,2,7
SIR01_sl1000_mr15_nv5_3,1,1,8,4,5,5,4,3,5,4,2,5,3,1,6
SIR01_sl1000_mr15_nv5_4,7,0,18,8,17,17,12,10,13,11,6,14,10,4,15
SIR01_sl1000_mr15_nv5_5,3,0,8,8,3,3,7,4,4,7,4,4,7,2,4
SIR01_sl1000_mr15_nv5_6,11,0,12,12,11,11,14,7,9,11,2,12,11,2,12
SIR01_sl1000_mr15_nv5_7,4,0,4,3,5,5,4,3,4,3,0,5,3,0,5
SIR01_sl1000_mr15_nv5_8,2,0,6,3,5,5,3,5,5,3,2,5,3,1,5
SIR01_sl1000_mr15_nv5_9,19,1,28,29,18,18,28,14,19,25,6,22,25,6,22
SIR01_sl1000_mr3_nv10_1,16,1,14,26,5,4,25,5,5,21,4,9,21,4,9
SIR01_sl1000_mr3_nv10_10,6,0,3,9,0,0,7,2,2,7,0,2,6,0,3
SIR01_sl1000_mr3_nv10_11,25,1,32,39,18,18,40,13,17,36,2,21,36,2,21
SIR01_sl1000_mr3_nv10_12,19,4,15,22,13,12,23,9,11,22,6,12,22,6,12
SIR01_sl1000_mr3_nv10_13,20,1,16,23,13,13,25,8,11,21,6,15,20,3,16
SIR01_sl1000_mr3_nv10_14,18,2,10,23,6,5,24,4,4,24,3,4,24,3,4
SIR01_sl1000_mr3_nv10_15,2,1,7,5,4,4,3,5,6,3,1,6,3,1,6
SIR01_sl1000_mr3_nv10_16,20,1,12,26,6,6,24,4,8,23,3,9,23,3,9
SIR01_sl1000_mr3_nv10_17,6,1,4,8,2,2,8,2,2,8,2,2,8,2,2
SIR01_sl1000_mr3_nv10_18,14,0,10,19,5,5,19,4,5,18,4,6,17,2,7
SIR01_sl1000_mr3_nv10_19,13,0,17,15,16,15,14,15,16,13,4,17,12,1,18
SIR01_sl1000_mr3_nv10_2,5,0,4,7,2,2,7,2,2,7,2,2,7,2,2
SIR01_sl1000_mr3_nv10_20,5,0,7,10,2,2,9,3,3,8,2,4,8,2,4
SIR01_sl1000_mr3_nv10_3,11,2,9,14,6,6,14,6,6,14,6,6,13,4,7
SIR01_sl1000_mr3_nv10_4,5,0,7,11,1,1,11,1,1,9,1,3,9,1,3
SIR01_sl1000_mr3_nv10_5,15,1,13,21,7,7,20,6,8,20,5,8,18,5,10
SIR01_sl1000_mr3_nv10_6,25,3,29,30,24,24,30,23,24,30,13,24,28,11,26
SIR01_sl1000_mr3_nv10_7,10,0,13,15,8,8,16,6,7,16,6,7,13,3,10
SIR01_sl1000_mr3_nv10_8,6,0,4,7,3,3,6,0,4,6,0,4,6,0,4
SIR01_sl1000_mr3_nv10_9,15,0,14,18,11,11,18,5,11,16,1,13,16,0,13
SIR01_sl250_mr15_nv10_1,8,5,9,10,9,7,10,6,7,9,4,8,9,4,8
SIR01_sl250_mr15_nv10_10,28,17,28,30,34,26,31,30,25,30,22,26,30,18,26
SIR01_sl250_mr15_nv10_11,11,5,13,12,14,12,12,14,12,12,11,12,12,8,12
SIR01_sl250_mr15_nv10_12,8,6,11,13,11,6,12,11,7,11,8,8,11,8,8
SIR01_sl250_mr15_nv10_13,4,2,9,7,9,6,6,7,7,6,6,7,6,5,7
SIR01_sl250_mr15_nv10_14,6,5,9,7,12,8,7,13,8,7,11,8,6,11,9
SIR01_sl250_mr15_nv10_15,2,1,6,4,6,4,3,1,5,2,1,6,2,1,6
SIR01_sl250_mr15_nv10_16,11,5,12,15,11,8,14,12,9,13,12,10,13,9,10
SIR01_sl250_mr15_nv10_17,7,1,0,6,1,1,6,1,1,6,1,1,6,1,1
SIR01_sl250_mr15_nv10_18,8,8,12,13,13,7,13,13,7,12,10,8,12,10,8
SIR01_sl250_mr15_nv10_19,4,1,3,6,2,1,6,2,1,6,2,1,6,2,1
SIR01_sl250_mr15_nv10_2,6,5,3,6,5,3,6,5,3,6,3,3,6,3,3
SIR01_sl250_mr15_nv10_20,3,2,4,4,5,3,4,4,3,3,4,4,3,4,4
SIR01_sl250_mr15_nv10_3,9,2,5,10,7,4,10,6,4,10,4,4,9,2,5
SIR01_sl250_mr15_nv10_4,6,5,6,7,6,5,6,7,6,6,6,6,6,5,6
SIR01_sl250_mr15_nv10_5,5,2,4,8,2,1,8,2,1,8,2,1,8,2,1
SIR01_sl250_mr15_nv10_6,15,13,28,22,28,21,22,25,21,17,17,26,17,17,26
SIR01_sl250_mr15_nv10_7,20,5,21,29,18,12,27,16,14,24,10,17,24,6,17
SIR01_sl250_mr15_nv10_8,2,1,7,5,4,4,6,3,3,4,2,5,4,2,5
SIR01_sl250_mr15_nv10_9,4,3,6,4,10,6,4,6,6,4,4,6,4,4,6
SIR01_sl500_mr15_nv10_1,2,0,3,2,3,3,3,2,2,2,0,3,2,0,3
SIR01_sl500_mr15_nv10_10,4,3,9,7,6,6,7,6,6,7,6,6,6,5,7
SIR01_sl500_mr15_nv10_11,7,2,10,11,7,6,9,6,8,9,3,8,9,1,8
SIR01_sl500_mr15_nv10_12,3,2,3,4,4,2,4,4,2,3,2,3,3,2,3
SIR01_sl500_mr15_nv10_13,2,2,5,5,2,2,5,2,2,4,2,3,4,2,3
SIR01_sl500_mr15_nv10_14,19,4,20,24,15,15,22,13,17,21,10,18,21,8,18
SIR01_sl500_mr15_nv10_15,14,5,16,18,15,12,18,13,12,18,13,12,18,12,12
SIR01_sl500_mr15_nv10_16,6,0,4,8,2,2,8,2,2,8,2,2,8,2,2
SIR01_sl500_mr15_nv10_17,9,3,4,9,4,4,10,4,3,9,3,4,9,3,4
SIR01_sl500_mr15_nv10_18,12,4,13,15,10,10,16,9,9,14,5,11,14,5,11
SIR01_sl500_mr15_nv10_19,15,1,12,21,7,6,19,8,8,18,6,9,17,4,10
SIR01_sl500_mr15_nv10_2,13,3,8,15,7,6,15,7,6,15,6,6,15,6,6
SIR01_sl500_mr15_nv10_20,13,2,12,18,8,7,18,6,7,18,2,7,18,2,7
SIR01_sl500_mr15_nv10_3,10,2,9,15,5,4,15,5,4,15,5,4,12,3,7
SIR01_sl500_mr15_nv10_4,28,2,21,35,14,14,37,11,12,33,4,16,32,3,17
SIR01_sl500_mr15_nv10_5,26,3,26,35,20,17,34,19,18,33,7,19,31,6,21
SIR01_sl500_mr15_nv10_6,24,1,5,28,3,1,29,2,0,28,2,1,28,2,1
SIR01_sl500_mr15_nv10_7,4,2,3,6,2,1,7,2,0,6,2,1,6,2,1
SIR01_sl500_mr15_nv10_8,3,1,5,4,5,4,5,4,3,3,3,5,3,1,5
SIR01_sl500_mr15_nv10_9,25,6,32,36,25,21,36,22,21,33,12,24,32,10,25
